Index,NStage_T1,RR_T1,TopPres_T1,StoF_T1,DIST_C4H8_T1,RebDuty_T1,hasERROR_T1
0,40,1,3.5,1,0.697627366,4370.71247,FALSE
1,40,1,3.5,2,0.790056963,7153.65847,FALSE
2,40,1,3.5,3,0.87034842,11316.5496,FALSE
3,40,1,3.5,4,0.933129873,18295.1818,FALSE
4,40,1,3.5,5,0.968025336,25120.1395,FALSE
5,40,1,3.5,6,0.982650231,32078.9646,FALSE
6,40,1,3.5,7,0.989040392,39064.5458,FALSE
7,40,1,3.5,8,0.992276487,46048.3619,FALSE
8,40,1,4,1,0.700720219,4594.27162,FALSE
9,40,1,4,2,0.798619184,7695.75598,FALSE
10,40,1,4,3,0.881980823,12447.4199,FALSE
11,40,1,4,4,0.941931343,20115.3756,FALSE
12,40,1,4,5,0.971542162,27235.1857,FALSE
13,40,1,4,6,0.983704101,34440.0093,FALSE
14,40,1,4,7,0.989276125,41653.6261,FALSE
15,40,1,4,8,0.992181321,48858.7254,FALSE
16,40,1,4.5,1,0.70327456,4806.03479,FALSE
17,40,1,4.5,2,0.805823697,8228.62277,FALSE
18,40,1,4.5,3,0.890868687,14203.7258,FALSE
19,40,1,4.5,4,0.947498408,21733.8978,FALSE
20,40,1,4.5,5,0.9733431,29109.4401,FALSE
21,40,1,4.5,6,0.984060937,36536.6691,FALSE
22,40,1,4.5,7,0.989128419,43958.7454,FALSE
23,40,1,4.5,8,0.991870292,51365.0199,FALSE
24,40,1,5,1,0.705396619,5008.71599,FALSE
25,40,1,5,2,0.811877889,8765.71489,FALSE
26,40,1,5,3,0.897808376,15816.2617,FALSE
27,40,1,5,4,0.95093009,23195.3601,FALSE
28,40,1,5,5,0.974133189,30802.3171,FALSE
29,40,1,5,6,0.983950106,38426.889,FALSE
30,40,1,5,7,0.988721377,46037.9382,FALSE
31,40,1,5,8,0.99139312,53632.5032,FALSE
32,40,1,5.5,1,0.707153739,5204.2196,FALSE
33,40,1,5.5,2,0.816973525,9321.88008,FALSE
34,40,1,5.5,3,0.903049979,16872.224,FALSE
35,40,1,5.5,4,0.952976162,24533.6575,FALSE
36,40,1,5.5,5,0.974321296,32340.6705,FALSE
37,40,1,5.5,6,0.983518045,40147.3907,FALSE
38,40,1,5.5,7,0.988144411,47936.8596,FALSE
39,40,1,5.5,8,0.990787374,55707.9454,FALSE
40,40,1,6,1,0.708614375,5394.4561,FALSE
41,40,1,6,2,0.821237207,9950.76368,FALSE
42,40,1,6,3,0.90684172,17866.9689,FALSE
43,40,1,6,4,0.954102118,25764.0791,FALSE
44,40,1,6,5,0.974017112,33752.0789,FALSE
45,40,1,6,6,0.982879197,41730.5405,FALSE
46,40,1,6,7,0.987426776,49687.529,FALSE
47,40,1,6,8,0.990055464,57625.2063,FALSE
48,40,2,3.5,1,0.744332301,5784.10342,FALSE
49,40,2,3.5,2,0.842152828,8622.12497,FALSE
50,40,2,3.5,3,0.914286401,12837.2143,FALSE
51,40,2,3.5,4,0.95804932,19815.4904,FALSE
52,40,2,3.5,5,0.97802011,26562.6642,FALSE
53,40,2,3.5,6,0.986666831,33486.636,FALSE
54,40,2,3.5,7,0.990909615,40457.8754,FALSE
55,40,2,3.5,8,0.993262465,47436.7527,FALSE
56,40,2,4,1,0.745363032,5987.05509,FALSE
57,40,2,4,2,0.847261617,9143.71932,FALSE
58,40,2,4,3,0.920100352,13952.0426,FALSE
59,40,2,4,4,0.961026044,21574.1441,FALSE
60,40,2,4,5,0.978848965,28634.2056,FALSE
61,40,2,4,6,0.986715555,35816.213,FALSE
62,40,2,4,7,0.990674955,43023.7252,FALSE
63,40,2,4,8,0.992932342,50223.083,FALSE
64,40,2,4.5,1,0.746001512,6179.79577,FALSE
65,40,2,4.5,2,0.851143111,9657.87335,FALSE
66,40,2,4.5,3,0.923818332,16097.9124,FALSE
67,40,2,4.5,4,0.962511084,23145.4272,FALSE
68,40,2,4.5,5,0.978962449,30478.5054,FALSE
69,40,2,4.5,6,0.986391571,37890.0961,FALSE
70,40,2,4.5,7,0.990222154,45305.5977,FALSE
71,40,2,4.5,8,0.99245923,52709.8518,FALSE
72,40,2,5,1,0.746297939,6364.60057,FALSE
73,40,2,5,2,0.85408537,10176.5768,FALSE
74,40,2,5,3,0.926385406,17244.4561,FALSE
75,40,2,5,4,0.963053618,24568.7883,FALSE
76,40,2,5,5,0.978632076,32144.9839,FALSE
77,40,2,5,6,0.985830015,39757.9017,FALSE
78,40,2,5,7,0.989621424,47365.5778,FALSE
79,40,2,5,8,0.991861394,54959.1189,FALSE
80,40,2,5.5,1,0.746359182,6543.03872,FALSE
81,40,2,5.5,2,0.856221957,10720.297,FALSE
82,40,2,5.5,3,0.927877303,18269.4528,FALSE
83,40,2,5.5,4,0.963010785,25880.0845,FALSE
84,40,2,5.5,5,0.97800738,33660.0938,FALSE
85,40,2,5.5,6,0.985085039,41460.2102,FALSE
86,40,2,5.5,7,0.988882545,49246.4419,FALSE
87,40,2,5.5,8,0.991161075,57016.2474,FALSE
88,40,2,6,1,0.746203745,6716.78392,FALSE
89,40,2,6,2,0.857688041,11353.3053,FALSE
90,40,2,6,3,0.928557368,19231.0639,FALSE
91,40,2,6,4,0.96248025,27084.909,FALSE
92,40,2,6,5,0.977134426,35054.1669,FALSE
93,40,2,6,6,0.984170899,43025.4455,FALSE
94,40,2,6,7,0.988022291,50979.6228,FALSE
95,40,2,6,8,0.990347549,58916.3822,FALSE
96,40,3,3.5,1,0.781006423,7191.37979,FALSE
97,40,3,3.5,2,0.88225737,10073.3488,FALSE
98,40,3,3.5,3,0.941814057,14307.5428,FALSE
99,40,3,3.5,4,0.970445448,21255.6729,FALSE
100,40,3,3.5,5,0.982990208,27971.4501,FALSE
101,40,3,3.5,6,0.988886191,34880.8598,FALSE
102,40,3,3.5,7,0.992034412,41847.2972,FALSE
103,40,3,3.5,8,0.993882548,48824.4153,FALSE
104,40,3,4,1,0.780272945,7373.79699,FALSE
105,40,3,4,2,0.883727741,10572.0049,FALSE
106,40,3,4,3,0.943064734,15401.8232,FALSE
107,40,3,4,4,0.97067446,22979.3961,FALSE
108,40,3,4,5,0.982685197,30017.4797,FALSE
109,40,3,4,6,0.988443627,37186.5962,FALSE
110,40,3,4,7,0.99154984,44389.9047,FALSE
111,40,3,4,8,0.993411862,51590.3447,FALSE
112,40,3,4.5,1,0.779266333,7547.35303,FALSE
113,40,3,4.5,2,0.88440204,11065.0073,FALSE
114,40,3,4.5,3,0.943239981,17634.7892,FALSE
115,40,3,4.5,4,0.970302788,24521.7914,FALSE
116,40,3,4.5,5,0.982050148,31834.3949,FALSE
117,40,3,4.5,6,0.987775408,39238.1326,FALSE
118,40,3,4.5,7,0.990919475,46651.574,FALSE
119,40,3,4.5,8,0.992836733,54054.2793,FALSE
120,40,3,5,1,0.778042127,7713.92168,FALSE
121,40,3,5,2,0.884452276,11565.4847,FALSE
122,40,3,5,3,0.943029464,18633.7271,FALSE
123,40,3,5,4,0.969542944,25920.5207,FALSE
124,40,3,5,5,0.981208137,33481.1686,FALSE
125,40,3,5,6,0.986964311,41087.6809,FALSE
126,40,3,5,7,0.990176884,48692.3436,FALSE
127,40,3,5,8,0.992153686,56284.3244,FALSE
128,40,3,5.5,1,0.776649171,7875.21951,FALSE
129,40,3,5.5,2,0.883991,12094.3909,FALSE
130,40,3,5.5,3,0.942273762,19629.7909,FALSE
131,40,3,5.5,4,0.968470451,27208.7088,FALSE
132,40,3,5.5,5,0.980148932,34978.4908,FALSE
133,40,3,5.5,6,0.986017967,42770.5153,FALSE
134,40,3,5.5,7,0.989322264,50555.27,FALSE
135,40,3,5.5,8,0.991379878,58324.1697,FALSE
136,40,3,6,1,0.775120387,8032.4278,FALSE
