Index,NStage_T2,RR_T2,TopPres_T2,StoF_T2,DIST_C4H6_T2,RebDuty_T2,hasERROR_T2
0,8,0.2,3.5,1,0.994011353,7010.26778,TRUE
1,8,0.2,3.5,2,0.993140867,10622.6792,FALSE
2,8,0.2,3.5,3,0.988219712,13123.8985,FALSE
3,8,0.2,3.5,4,0.959289723,12781.556,FALSE
4,8,0.2,3.5,5,0.906176037,12396.7946,FALSE
5,8,0.2,3.5,6,0.755017519,4980.5415,TRUE
6,8,0.2,3.5,7,0.778579056,10672.7228,FALSE
7,8,0.2,3.5,8,0.718120508,9752.71268,FALSE
8,8,0.2,4,1,0.994446967,7069.8845,FALSE
9,8,0.2,4,2,0.992688222,11135.3265,FALSE
10,8,0.2,4,3,0.987807439,13865.8385,FALSE
11,8,0.2,4,4,0.962024946,13799.9576,FALSE
12,8,0.2,4,5,0.916252776,13770.665,FALSE
13,8,0.2,4,6,0.860697068,13349.5779,FALSE
14,8,0.2,4,7,0.803594708,12805.6397,FALSE
15,8,0.2,4,8,0.749182865,12249.4266,FALSE
16,8,0.2,4.5,1,0.993417158,7540.45574,TRUE
17,8,0.2,4.5,2,0.992241889,11603.7081,FALSE
18,8,0.2,4.5,3,0.987385019,14546.1764,FALSE
19,8,0.2,4.5,4,0.994256103,16298.765,TRUE
20,8,0.2,4.5,5,0.923567173,14992.5646,FALSE
21,8,0.2,4.5,6,0.87403215,14890.0018,FALSE
22,8,0.2,4.5,7,0.822684532,14666.8296,FALSE
23,8,0.2,4.5,8,0.773377461,14423.3568,FALSE
24,8,0.2,5,1,0.994863979,7357.09076,TRUE
25,8,0.2,5,2,0.991729286,12038.8566,FALSE
26,8,0.2,5,3,0.990836202,10170.8829,TRUE
27,8,0.2,5,4,0.964367586,15571.1066,FALSE
28,8,0.2,5,5,0.928555677,16097.8944,FALSE
29,8,0.2,5,6,0.88396729,16272.221,FALSE
30,8,0.2,5,7,0.83729971,16327.266,FALSE
31,8,0.2,5,8,0.792349542,16359.1212,FALSE
32,8,0.2,5.5,1,0.993822312,7772.58542,FALSE
33,8,0.2,5.5,2,0.99115707,12446.3008,FALSE
34,8,0.2,5.5,3,0.986236995,15767.8388,FALSE
35,8,0.2,5.5,4,0.964386192,16359.939,FALSE
36,8,0.2,5.5,5,0.931728923,17112.7575,FALSE
37,8,0.2,5.5,6,0.891136907,17531.0179,FALSE
38,8,0.2,5.5,7,0.848427088,17833.6911,FALSE
39,8,0.2,5.5,8,0.807220352,18111.929,FALSE
40,8,0.2,6,1,0.993546311,7978.30503,FALSE
41,8,0.2,6,2,0.979818066,8964.15837,TRUE
42,8,0.2,6,3,0.985820971,16319.4878,FALSE
43,8,0.2,6,4,0.963805703,17099.6417,FALSE
44,8,0.2,6,5,0.933660663,18056.0737,FALSE
45,8,0.2,6,6,0.896154923,18692.2152,FALSE
46,8,0.2,6,7,0.856740765,19217.839,FALSE
47,8,0.2,6,8,0.818581316,19717.6434,FALSE
48,8,0.4,3.5,1,0.994853471,7026.46279,FALSE
49,8,0.4,3.5,2,0.9943787,10826.024,FALSE
50,8,0.4,3.5,3,0.993068922,13326.1041,FALSE
51,8,0.4,3.5,4,0.982835174,13203.6841,FALSE
52,8,0.4,3.5,5,0.953287329,13171.9168,FALSE
53,8,0.4,3.5,6,0.755722861,3519.41339,TRUE
54,8,0.4,3.5,7,0.993110661,16789.7372,TRUE
55,8,0.4,3.5,8,0.797564023,11153.9224,FALSE
56,8,0.4,4,1,0.994765999,7300.22952,FALSE
57,8,0.4,4,2,0.994094088,11348.5357,FALSE
58,8,0.4,4,3,0.992561618,14080.2638,FALSE
59,8,0.4,4,4,0.982578506,14183.9297,FALSE
60,8,0.4,4,5,0.857944234,4392.80934,TRUE
61,8,0.4,4,6,0.91893907,14271.8585,FALSE
62,8,0.4,4,7,0.872522579,13916.6701,FALSE
63,8,0.4,4,8,0.824645105,13492.9365,FALSE
64,8,0.4,4.5,1,0.994668843,7549.0793,FALSE
65,8,0.4,4.5,2,0.993807253,11822.2131,FALSE
66,8,0.4,4.5,3,0.992168021,14764.1102,FALSE
67,8,0.4,4.5,4,0.982101281,15083.632,FALSE
68,8,0.4,4.5,5,0.960757708,15577.7571,FALSE
69,8,0.4,4.5,6,0.927341296,15703.3267,FALSE
70,8,0.4,4.5,7,0.887018545,15655.3353,FALSE
71,8,0.4,4.5,8,0.844915645,15540.4139,FALSE
72,8,0.4,5,1,0.994548354,7780.95471,FALSE
73,8,0.4,5,2,0.993478233,12261.4202,FALSE
74,8,0.4,5,3,0.917735496,13268.557,TRUE
75,8,0.4,5,4,0.981281028,15919.5634,FALSE
76,8,0.4,5,5,0.962038946,16627.6366,FALSE
77,8,0.4,5,6,0.932622293,17000.3707,FALSE
78,8,0.4,5,7,0.897051058,17216.165,FALSE
79,8,0.4,5,8,0.859688637,17370.0155,FALSE
80,8,0.4,5.5,1,0.994402823,7998.52993,FALSE
81,8,0.4,5.5,2,0.993137167,12669.5083,FALSE
82,8,0.4,5.5,3,0.990414966,16022.5302,FALSE
83,8,0.4,5.5,4,0.980164785,16701.8843,FALSE
84,8,0.4,5.5,5,0.962239937,17604.1676,FALSE
85,8,0.4,5.5,6,0.935788146,18194.9044,FALSE
