,alias,GAMMA_C4H8_Aspen,GAMMA_C4H6_Aspen,S_Aspen,VP_Aspen,GAMMA_Solvent,Alpha_Aspen,MW_Aspen,RHO_Aspen,CPMX_Aspen,MUMX_Aspen,set
1,C8H10-4,1.09292395,1.10816634,0.986245395,1.27805222,1.24349092,2.292550197,106.1674,863.686266,187.878467,0.635345397,train
4,C4H9CL-1,0.947516499,0.921116772,1.028660565,13.5151907,0.904199895,1.32636452,92.56816,881.119317,164.452773,0.426833869,train
15,C7H6O,3.3383454,2.14787992,1.554251413,0.169594336,3.61074491,2.994138307,106.12404,1041.04028,172.403699,1.37609378,train
16,C6H12O2-1,1.130695,0.987118096,1.145450584,1.49271889,0.94601904,2.293627668,116.16008,875.939644,232.713533,0.676820951,train
17,C8H14O2-D2,1.02657936,0.913129617,1.124242759,0.175334348,0.839855578,3.241597276,142.19796,963.799673,247.351173,2.02736319,test
18,C6H15N-1,0.926045857,0.945754439,0.979160994,3.61372545,0.924165828,1.901209788,101.19184,737.461562,229.539643,0.514778244,train
21,C7H14O-D2,1.14138835,1.00484511,1.135884863,0.509087265,1.00638018,2.741681275,114.18756,819.781989,242.801989,0.748008612,train
26,C6H15N-D1,0.913269509,1.0020588,0.911393133,10.57531,0.999673284,1.425878474,101.19184,712.218755,215.967069,0.395037687,train
27,C6H15N-D2,1.14866635,1.23365589,0.93110758,1.21330559,1.43852059,2.298444216,101.19184,764.909192,219.493525,0.790746485,train
31,C10H14-1,0.94115514,0.988373595,0.952226106,0.143263496,1.07856966,3.25507385,134.22116,856.793926,242.200265,0.964682801,train
32,C6H12O-2,1.30617014,1.1233964,1.162697459,2.66761349,1.17546254,2.00333779,100.16068,796.436619,216.035915,0.542601623,test
47,C8H10-2,0.959101406,0.883168335,1.085978027,1.12002217,0.880488086,2.401229847,106.1674,863.269183,180.725758,0.581444717,test
51,C7H14O2-D4,1.0041649,0.903805434,1.111041008,0.813665785,0.825820884,2.577879493,130.18696,868.60624,261.817832,0.803948915,train
52,C7H14O2-D1,0.934239814,0.887334213,1.052861256,0.596962057,0.810433818,2.712559404,130.18696,871.732112,238.979924,0.783831468,train
54,C5H11N,1.1189028,1.06271664,1.052870312,4.28083789,1.0930903,1.805369119,85.14908,857.736515,161.70414,1.37894272,train
58,C4H4S,1.47947426,1.14041918,1.297307416,10.5167487,1.14163275,1.426793058,84.14176,1058.26772,125.947982,0.617958774,train
59,C5H9NO-D2,2.54353696,1.54887729,1.642181067,0.045949305,2.05500963,3.664060664,99.1326,1026.70949,161.702975,1.8902657,train
60,C7H14O-E2,1.02358094,0.947629399,1.080148992,0.770526712,0.919547232,2.575413245,114.18756,811.685752,242.38402,0.707516786,train
61,C5H10O-D2,1.27397549,1.01529193,1.254787369,6.68434695,1.23621748,1.53857353,86.1338,795.583323,175.872254,0.541772203,test
63,C7H12O2-D1,1.00449684,0.863134129,1.163778382,0.726770714,0.744521458,2.651940112,128.17108,895.447204,263.611086,0.859211311,test
64,C8H10-1,0.959101406,0.883168335,1.085978027,0.886179431,0.880488086,2.5029348,106.1674,879.010232,189.341927,0.757730895,train
65,C8H16O3,1.04096213,0.87131577,1.194701354,0.115716641,1.06700707,3.297748919,160.21324,935.609738,310.199051,1.62788207,train
70,C8H19N,0.82038445,0.865817619,0.947525705,0.365038828,0.788718032,2.927302048,129.2456,758.397824,264.868904,0.90869379,train
75,C9H12-2,1.03340662,1.10338648,0.9365772,0.608612416,1.24632667,2.611891422,120.19428,857.764298,214.260471,0.737463561,train
79,C9H12-1,1.01140387,1.04560968,0.967286254,0.463900089,1.16380456,2.736201545,120.19428,859.583288,213.318044,0.802311899,train
81,C6H12O2-2,1.13154585,0.987517831,1.145848525,2.37910061,0.946444065,2.091173646,116.16008,868.99983,204.219323,0.660345686,train
83,C8H14O2,0.888755459,0.794625203,1.118458684,0.276727954,0.638869289,3.101833752,142.19796,890.870709,240.074217,0.938358329,test
87,C11H22O2-D2,0.70710045,0.717843331,0.985034505,0.005664461,0.514145341,4.840921618,186.29448,868.007035,348.289166,1.94883198,test
88,C7H14O2-D5,1.003528,0.90349512,1.110717676,0.56313793,0.825422565,2.737771154,130.18696,871.691967,269.892433,0.85019235,train
89,C9H18O-D1,0.859251089,0.821295328,1.04621451,0.224377313,0.720239978,3.155179646,142.24132,802.590549,293.300925,0.866777378,train
90,C8H16O2-D1,0.861092285,0.835231934,1.03096188,0.273600535,0.725481127,3.07320049,144.21384,865.488933,274.451426,0.944508741,train
95,C10H14-3,0.959638792,1.03837181,0.924176468,0.224066021,1.1576913,3.051520578,134.22116,857.646655,225.571658,0.925517107,test
98,C8H12-D1,0.954400481,1.00388839,0.950703774,0.659185349,1.02067362,2.622927455,108.18328,874.370702,193.552625,0.594884935,train
