NStage,RR,TopPres,StoF,DIST_C4H8_T1,RebDuty_T1,Puri_pred,Duty_pred
20,0.5,3,0.5,0.615095836,2602.96271,0.7079975,-1895.8652
20,0.5,3,8.5,0.921596634,43599.166,0.99457014,51109.62
20,0.5,3,9,0.925488099,46939.1416,0.9954809,55313.18
20,0.5,3,9.5,0.928827187,50267.1538,0.9962039,59723.04
20,0.5,3,10,0.931805988,53595.0017,0.99679023,64398.793
20,0.5,3.25,0.5,0.615979164,2676.22531,0.70834166,-1460.0519
20,0.5,3.25,8.5,0.921933382,45464.5591,0.9944614,52012.03
20,0.5,3.25,9,0.925567166,48861.3517,0.99538785,56308.26
20,0.5,3.25,9.5,0.928743666,52254.0679,0.99612415,60823.195
20,0.5,3.25,10,0.931572901,55642.5062,0.99672186,65596.45
20,0.5,6.25,0.5,0.620839554,3382.27218,0.70759577,3338.298
20,0.5,6.25,8.5,0.908986314,60863.5438,0.9924842,64334.863
20,0.5,6.25,9,0.911159448,64838.0902,0.9937005,69957.92
20,0.5,6.25,9.5,0.913466646,68810.1202,0.99467945,75663.39
20,0.5,6.25,10,0.915793965,72779.8469,0.99548185,81547.59
20,0.5,6.5,0.5,0.620947557,3431.99779,0.7071155,3595.7144
20,0.5,6.5,8.5,0.906893308,61811.7531,0.99225295,65499.51
20,0.5,6.5,9,0.909546701,65827.5496,0.9935029,71224.75
20,0.5,6.5,9.5,0.9120687,69840.0203,0.9945099,77041.41
20,0.5,6.5,10,0.914208664,73848.983,0.99533594,83047.18
20,10.5,3,8.5,0.933308406,57742.5669,0.997681,63268.383
20,10.5,3,9,0.935621443,61067.668,0.9980351,67598.945
20,10.5,3,9.5,0.937690359,64389.2739,0.9983324,72148.47
20,10.5,3,10,0.939546548,67708.6695,0.9985835,76923.66
20,10.5,3.25,0.5,0.694057913,16708.7077,0.8626026,13528.349
20,10.5,3.25,8.5,0.931085695,59475.2217,0.9976001,64254.387
20,10.5,3.25,9,0.933388692,62860.5772,0.9979669,68688.83
20,10.5,3.25,9.5,0.93548661,66247.1605,0.9982748,73353.336
20,10.5,3.25,10,0.937370589,69627.1742,0.998535,78234.125
20,10.5,6.25,0.5,0.67741964,16322.9644,0.8408326,17979.104
20,10.5,6.25,8.5,0.903852094,73697.4348,0.9961804,77233.445
20,10.5,6.25,9,0.906271857,77673.0582,0.99677193,82941.7
20,10.5,6.25,9.5,0.908315456,81645.239,0.9972676,88847.22
20,10.5,6.25,10,0.909879888,85612.411,0.9976846,94993.71
20,10.5,6.5,0.5,0.675975984,16295.6875,0.83884203,18177.91
20,10.5,6.5,8.5,0.90150578,74569.3067,0.9960152,78385.49
20,10.5,6.5,9,0.9037838,78583.9288,0.99663275,84178.86
20,10.5,6.5,9.5,0.905505467,82593.7869,0.9971501,90194.836
20,10.5,6.5,10,0.907389271,86601.7435,0.9975853,96449.23
20,11,3,0.5,0.694922157,17455.7215,0.8706869,13758.94
20,11,3,8.5,0.932862932,58443.394,0.99775803,63909.457
20,11,3,9,0.935214332,61768.8836,0.99810064,68240.72
20,11,3,9.5,0.937316363,65090.6494,0.9983886,72795.85
20,11,3,10,0.93920182,68410.2845,0.99863166,77573.99
20,11,3.25,0.5,0.693741652,17409.8888,0.8690877,14275.308
20,11,3.25,8.5,0.930613325,60170.3774,0.99767876,64895.074
20,11,3.25,9,0.932965041,63555.2348,0.998034,69329.83
20,11,3.25,9.5,0.935086515,66941.6475,0.9983323,74001.32
20,11,3.25,10,0.93700319,70322.7335,0.99858415,78883.53
20,11,6.25,0.5,0.677103631,16969.6739,0.8469098,18637.182
20,11,6.25,8.5,0.903183725,74338.1179,0.9962889,77860.69
20,11,6.25,9,0.90564466,78313.8851,0.9968647,83564.22
20,11,6.25,9.5,0.907735845,82286.1471,0.99734724,89475.78
20,11,6.25,10,0.909358875,86253.2661,0.99775314,95628.05
20,11,6.5,0.5,0.675655902,16938.5619,0.8448826,18833.91
20,11,6.5,8.5,0.900832408,75205.905,0.99612683,79013.08
20,11,6.5,9,0.903161816,79221.0484,0.99672854,84802.586
20,11,6.5,9.5,0.904939889,83231.1271,0.99723244,90823.02
20,11,6.5,10,0.906791849,87237.7641,0.99765617,97080.984
20,11.5,3,0.5,0.69458386,18162.5835,0.8769924,14506.708
20,11.5,3,8.5,0.932376777,59144.1708,0.99783164,64555.4
20,11.5,3,9,0.934768953,62469.8587,0.9981635,68886.016
20,11.5,3,9.5,0.936906332,65791.8351,0.99844235,73447.54
20,11.5,3,10,0.938823297,69111.7268,0.9986779,78227.164
20,11.5,3.25,0.5,0.693410431,18111.0817,0.8753692,15016.193
20,11.5,3.25,8.5,0.930101522,60865.3284,0.9977541,65537.81
20,11.5,3.25,9,0.932488597,64251.3984,0.99809825,69972.95
20,11.5,3.25,9.5,0.934652721,67637.4344,0.99838746,74653.375
20,11.5,3.25,10,0.936606476,71016.8882,0.99863166,79538.14
20,11.5,6.25,0.5,0.676777751,17616.3972,0.852872,19288.303
20,11.5,6.25,8.5,0.90249571,74978.7735,0.9963937,78486.45
20,11.5,6.25,9,0.904998157,78954.6536,0.99695456,84185.64
20,11.5,6.25,9.5,0.907135628,82927.1043,0.9974246,90101.65
20,11.5,6.25,10,0.908828085,86894.0447,0.9978196,96258.83
20,11.5,6.5,0.5,0.675326529,17581.4502,0.85081387,19483.13
20,11.5,6.5,8.5,0.900141305,75842.7555,0.9962349,79639.25
20,11.5,6.5,9,0.902520086,79858.0818,0.9968211,85425.04
20,11.5,6.5,9.5,0.904363247,83868.1513,0.99731207,91448.234
20,11.5,6.5,10,0.90616326,87875.6786,0.9977247,97710.516
20,12,3,0.5,0.694234104,18869.4565,0.88307875,15250.674
20,12,3,8.5,0.931853413,59844.7447,0.9979021,65201.727
20,12,3,9,0.934288034,63170.707,0.9982239,69531.74
20,12,3,9.5,0.936463087,66492.8093,0.99849415,74100.99
20,12,3,10,0.938414898,69812.771,0.99872243,78884.3
20,12,3.25,0.5,0.693069146,18812.286,0.88143957,15752.049
20,12,3.25,8.5,0.929551491,61557.5099,0.9978264,66179.08
20,12,3.25,9.5,0.934192774,68333.2193,0.99844044,75304.83
20,12,3.25,10,0.936157795,71720.7337,0.99867713,80194.02
20,12,6.25,0.5,0.676445777,18263.1337,0.85870934,19933.355
20,12,6.25,8.5,0.901789711,75619.4075,0.99649495,79111.22
20,12,6.25,9,0.904334378,79595.2319,0.9970416,84806.42
20,12,6.25,9.5,0.906517457,83568.0683,0.99749935,90725.195
20,12,6.25,10,0.908287435,87534.8754,0.9978841,96887.85
20,12,6.5,0.5,0.674991538,18224.3521,0.8566259,20126.47
20,12,6.5,8.5,0.899428244,76479.6458,0.9963396,80265.04
20,12,6.5,9,0.901860079,80495.0943,0.99691105,86046.67
20,12,6.5,9.5,0.903777693,84504.9708,0.99738944,92070.86
20,12,6.5,10,0.905542082,88513.0205,0.9977913,98338.25
20,12.5,3,8.5,0.931296207,60545.1373,0.9979698,65847.86
20,12.5,3,9,0.933774995,63871.3783,0.9982818,70176.37
20,12.5,3,9.5,0.93598563,67193.8006,0.9985439,74754.39
20,12.5,3,10,0.937975141,70514.0758,0.9987652,79541.555
20,12.5,3.25,0.5,0.692721638,19513.5013,0.88729304,16483.873
