NStage,RR,TopPres,StoF,DIST_C4H8_T1,RebDuty_T1,Puri_pred,Duty_pred
40,1,3.5,1,0.697627366,4370.71247,0.7572616,2494.394
40,1,3.5,2,0.790056963,7153.65847,0.83764887,8015.872
40,1,3.5,3,0.87034842,11316.5496,0.90926266,13762.408
40,1,3.5,4,0.933129873,18295.1818,0.95562524,19983.41
40,1,3.5,5,0.968025336,25120.1395,0.97934693,26771.312
40,1,3.5,6,0.982650231,32078.9646,0.9901428,34094.562
40,1,3.5,7,0.989040392,39064.5458,0.9949269,41794.543
40,1,3.5,8,0.992276487,46048.3619,0.9971266,49916.09
40,1,4,1,0.700720219,4594.27162,0.7567811,3410.7417
40,1,4,2,0.798619184,7695.75598,0.8363255,9007.873
40,1,4,3,0.881980823,12447.4199,0.9078665,14809.799
40,1,4,4,0.941931343,20115.3756,0.9546877,21105.744
40,1,4,5,0.971542162,27235.1857,0.9788394,27970.553
40,1,4,6,0.983704101,34440.0093,0.9898796,35365.15
40,1,4,7,0.989276125,41653.6261,0.9947807,43229.773
40,1,4,8,0.992181321,48858.7254,0.99703586,51659.324
40,1,4.5,1,0.70327456,4806.03479,0.75611436,4325.64
40,1,4.5,2,0.805823697,8228.62277,0.83481824,9983.025
40,1,4.5,3,0.890868687,14203.7258,0.9063032,15838.061
40,1,4.5,4,0.947498408,21733.8978,0.9536325,22236.871
40,1,4.5,5,0.9733431,29109.4401,0.97826374,29180.035
40,1,4.5,6,0.984060937,36536.6691,0.9895781,36648.28
40,1,4.5,7,0.989128419,43958.7454,0.9946114,44703.105
40,1,4.5,8,0.991870292,51365.0199,0.9969303,53460.836
40,1,5,1,0.705396619,5008.71599,0.7552652,5220.762
40,1,5,2,0.811877889,8765.71489,0.83313596,10914.646
40,1,5,3,0.897808376,15816.2617,0.9045785,16856.27
40,1,5,4,0.95093009,23195.3601,0.95246,23362.934
40,1,5,5,0.974133189,30802.3171,0.9776184,30390.434
40,1,5,6,0.983950106,38426.889,0.98923624,37945.54
40,1,5,7,0.988721377,46037.9382,0.9944172,46217.242
40,1,5,8,0.99139312,53632.5032,0.99680835,55325.29
40,1,5.5,1,0.707153739,5204.2196,0.7542404,6034.265
40,1,5.5,2,0.816973525,9321.88008,0.83128947,11798.719
40,1,5.5,3,0.903049979,16872.224,0.90270007,17868.549
40,1,5.5,4,0.952976162,24533.6575,0.9511717,24493.217
40,1,5.5,5,0.974321296,32340.6705,0.97690135,31607.516
40,1,5.5,6,0.983518045,40147.3907,0.9888519,39271.4
40,1,5.5,7,0.988144411,47936.8596,0.9941963,47782.2
40,1,5.5,8,0.990787374,55707.9454,0.99666864,57275.57
40,1,6,1,0.708614375,5394.4561,0.75304955,6726.4453
40,1,6,2,0.821237207,9950.76368,0.8292917,12611.431
40,1,6,3,0.90684172,17866.9689,0.9006767,18832.457
40,1,6,4,0.954102118,25764.0791,0.94976884,25613.496
40,1,6,5,0.974017112,33752.0789,0.97611064,32835.086
40,1,6,6,0.982879197,41730.5405,0.9884223,40650.242
40,1,6,7,0.987426776,49687.529,0.9939464,49423.406
40,1,6,8,0.990055464,57625.2063,0.9965094,59326.883
40,2,3.5,1,0.744332301,5784.10342,0.777675,3965.162
40,2,3.5,2,0.842152828,8622.12497,0.8574873,9465.619
40,2,3.5,3,0.914286401,12837.2143,0.9235593,15155.972
40,2,3.5,4,0.95804932,19815.4904,0.9635275,21315.312
40,2,3.5,5,0.97802011,26562.6642,0.9831249,28037.781
40,2,3.5,6,0.986666831,33486.636,0.9918746,35294.613
40,2,3.5,7,0.990909615,40457.8754,0.99574393,42947.6
40,2,3.5,8,0.993262465,47436.7527,0.99754256,51062.24
40,2,4,1,0.745363032,5987.05509,0.776797,4924.5186
40,2,4,2,0.847261617,9143.71932,0.85591584,10489.328
40,2,4,3,0.920100352,13952.0426,0.92214125,16229.439
40,2,4,4,0.961026044,21574.1441,0.96264696,22476.895
40,2,4,5,0.978848965,28634.2056,0.982659,29263.684
40,2,4,6,0.986715555,35816.213,0.99162996,36591.473
40,2,4,7,0.990674955,43023.7252,0.9956048,44401.492
40,2,4,8,0.992932342,50223.083,0.997455,52829.25
40,2,4.5,1,0.746001512,6179.79577,0.7757319,5879.1577
40,2,4.5,2,0.851143111,9657.87335,0.854154,11484.297
40,2,4.5,3,0.923818332,16097.9124,0.92055595,17287.768
40,2,4.5,4,0.962511084,23145.4272,0.96165526,23635.729
40,2,4.5,5,0.978983581,30478.6174,0.98212993,30500.668
40,2,4.5,6,0.986391571,37890.0961,0.9913497,37899.79
40,2,4.5,7,0.990222154,45305.5977,0.9954441,45890.96
40,2,4.5,8,0.99245923,52709.8518,0.99735355,54650.977
40,2,5,1,0.746297939,6364.60057,0.7744874,6794.5835
40,2,5,2,0.85408537,10176.5768,0.85221225,12438.144
40,2,5,3,0.926385406,17244.4561,0.9188078,18341.324
40,2,5,4,0.963053618,24568.7883,0.96055114,24788.426
40,2,5,5,0.978632076,32144.9839,0.98153573,31738.152
40,2,5,6,0.985830015,39757.9017,0.9910318,39222.023
40,2,5,7,0.989621424,47365.5778,0.99526024,47423.215
40,2,5,8,0.991861394,54959.1189,0.99723685,56542.586
40,2,5.5,1,0.746359182,6543.03872,0.7730735,7608.405
40,2,5.5,2,0.856221957,10720.297,0.8501032,13336.3
40,2,5.5,3,0.927877303,18269.4528,0.91690284,19368.682
40,2,5.5,4,0.963010785,25880.0845,0.9593347,25943.203
40,2,5.5,5,0.97800738,33660.0938,0.9808739,32984.062
40,2,5.5,6,0.985085039,41460.2102,0.99067414,40574.805
40,2,5.5,7,0.988882545,49246.4419,0.9950514,49019.2
40,2,5.5,8,0.991161075,57016.2474,0.9971035,58519.688
40,2,6,1,0.746203745,6716.78392,0.7715029,8306.263
40,2,6,2,0.857688041,11353.3053,0.84784114,14157.435
