NStage,RR,TopPres,StoF,DIST_C4H6_T2,RebDuty_T2,Puri_pred,Duty_pred
9,0.3,3.75,1.5,0.994379711,9183.96634,0.989007,10199.557
9,0.3,3.75,2.5,0.992923552,12482.3051,0.98126554,11883.1455
9,0.3,3.75,3.5,0.988422415,14240.0166,0.9644991,12847.749
9,0.3,3.75,5.5,0.913477332,13347.7272,0.91197795,13459.737
9,0.3,3.75,6.5,0.859337285,12784.91,0.87982893,13427.831
9,0.3,3.75,7.5,0.803979702,12133.6161,0.8408715,13232.07
9,0.3,4.25,1.5,0.994145591,9563.65117,0.9888662,10772.591
9,0.3,4.25,2.5,0.99242757,13087.2043,0.9811678,12708.922
9,0.3,4.25,4.5,0.961459721,14713.0202,0.94291747,14650.971
9,0.3,4.25,5.5,0.922704148,14746.5172,0.9185749,15071.682
9,0.3,4.25,6.5,0.875493106,14523.7924,0.890241,15292.33
9,0.3,4.25,7.5,0.826560288,14212.4616,0.85545063,15330.403
9,0.3,4.75,1.5,0.993888062,9912.32435,0.98847467,11255.889
9,0.3,4.75,2.5,0.991910332,13644.131,0.9806391,13423.817
9,0.3,4.75,3.5,0.987503333,15819.1757,0.9651205,14886.815
9,0.3,4.75,4.5,0.963006974,15699.6567,0.9445597,15843.622
9,0.3,4.75,5.5,0.928986262,16002.7037,0.9225987,16502.9
9,0.3,4.75,6.5,0.887231283,16069.3199,0.8970726,16957.105
9,0.3,4.75,7.5,0.843496976,16049.4303,0.8655859,17219.176
9,0.3,5.25,1.5,0.99358672,10237.6128,0.9879159,11666.051
9,0.3,5.25,3.5,0.986014248,16539.5171,0.96443594,15726.597
9,0.3,5.25,4.5,0.963539658,16612.3902,0.9450978,16903.463
9,0.3,5.25,5.5,0.933080623,17150.9073,0.9247794,17780.52
9,0.3,5.25,6.5,0.895590363,17469.3469,0.9012386,18447.395
9,0.3,5.25,7.5,0.856130863,17705.5466,0.87226295,18916.682
9,0.3,5.75,1.5,0.993241919,10542.9352,0.98725843,12019.02
9,0.3,5.75,2.5,0.9908348,14645.2316,0.9787529,14587.406
9,0.3,5.75,3.5,0.984504302,17212.9571,0.96342057,16469.559
9,0.3,5.75,4.5,0.963288552,17465.5102,0.9449668,17849.738
9,0.3,5.75,5.5,0.935434575,18213.3568,0.9257741,18928.008
9,0.3,5.75,6.5,0.901333026,18755.6243,0.9036105,19789.762
9,0.3,5.75,7.5,0.86538298,19220.807,0.87651616,20448.65
9,0.5,3.75,1.5,0.994701192,9419.29051,0.991786,10552.842
9,0.5,3.75,2.5,0.994116556,12699.3666,0.9867657,12308.103
9,0.5,3.75,3.5,0.992306164,14469.3058,0.9755618,13330.972
9,0.5,3.75,4.5,0.980543715,14034.1947,0.9572228,13831.435
9,0.5,3.75,5.5,0.954513161,14017.4408,0.9359705,14032.067
9,0.5,3.75,6.5,0.915001756,13694.2094,0.9115082,14041.979
9,0.5,3.75,7.5,0.868911739,13217.0757,0.8810379,13886.258
9,0.5,4.25,1.5,0.994560408,9797.84774,0.9915964,11067.445
9,0.5,4.25,2.5,0.993825585,13306.802,0.98653984,13072.631
9,0.5,4.25,4.5,0.98050135,15081.7766,0.9588829,15110.686
9,0.5,4.25,5.5,0.958621401,15326.1982,0.94009626,15567.925
9,0.5,4.25,6.5,0.925655986,15312.2426,0.9186195,15825.619
9,0.5,4.25,7.5,0.886572711,15163.2602,0.8917524,15902.2
9,0.5,4.75,1.5,0.994402535,10145.0708,0.99120617,11496.676
9,0.5,4.75,2.5,0.993361641,13878.394,0.9859889,13730.8
9,0.5,4.75,3.5,0.990683248,16085.9432,0.97516125,15246.966
9,0.5,4.75,4.5,0.980008944,16050.0958,0.9593643,16242.391
9,0.5,4.75,5.5,0.960812158,16520.3248,0.9422425,16933.72
9,0.5,4.75,6.5,0.932509597,16767.1583,0.9228366,17419.23
9,0.5,4.75,7.5,0.898732919,16895.1935,0.89863527,17714.93
9,0.5,5.25,1.5,0.994224592,10467.6526,0.9906696,11857.836
9,0.5,5.25,3.5,0.989754854,16806.9574,0.97416896,16033.697
9,0.5,5.25,4.5,0.979086457,16953.9275,0.9589778,17248.416
9,0.5,5.25,5.5,0.96156801,17626.7449,0.9429272,18155.512
9,0.5,5.25,6.5,0.93664894,18100.0075,0.9248802,18849.662
9,0.5,5.25,7.5,0.906887039,18468.6582,0.9025639,19347.238
9,0.5,5.75,1.5,0.993960191,10777.4026,0.99003553,12167.141
9,0.5,5.75,2.5,0.992237296,14905.9051,0.9841574,14796.448
9,0.5,5.75,3.5,0.988724917,17483.3293,0.9728484,16729.16
9,0.5,5.75,4.5,0.977864476,17803.2064,0.95800924,18147.121
9,0.5,5.75,5.5,0.961388633,18662.0604,0.9426094,19255.1
9,0.5,5.75,6.5,0.938805772,19337.3957,0.9253971,20142.37
9,0.5,5.75,7.5,0.912062371,19919.5766,0.90436184,20825.91
9,0.7,3.75,1.5,0.994806118,9678.43911,0.99357045,10853.902
9,0.7,3.75,2.5,0.994414691,12957.6223,0.9901538,12675.58
9,0.7,3.75,3.5,0.993398703,14720.1925,0.98251235,13753.651
9,0.7,3.75,6.5,0.95018635,14297.0056,0.933111,14586.693
9,0.7,3.75,7.5,0.91517464,14001.0325,0.9094197,14469.31
9,0.7,4.25,1.5,0.994700556,10055.249,0.99338853,11316.6045
9,0.7,4.25,2.5,0.994146211,13573.0826,0.98992026,13384.771
9,0.7,4.25,4.5,0.987530992,15350.5136,0.9696554,15513.7
9,0.7,4.25,5.5,0.976226621,15694.2394,0.9546487,16004.158
9,0.7,4.25,6.5,0.955577951,15831.6424,0.93794215,16294.303
9,0.7,4.25,7.5,0.927148562,15836.5672,0.91711986,16405.143
9,0.7,4.75,1.5,0.994570199,10403.2597,0.9930496,11698.542
9,0.7,4.75,2.5,0.993837475,14138.8351,0.9894527,13992.489
9,0.7,4.75,3.5,0.99224083,16342.2113,0.981837,15558.205
9,0.7,4.75,4.5,0.986625469,16323.7629,0.9696309,16590.395
9,0.7,4.75,5.5,0.976141913,16870.0458,0.95580006,17310.963
9,0.7,4.75,6.5,0.958401888,17232.9043,0.9406044,17823.117
9,0.7,4.75,7.5,0.934575786,17490.4327,0.921813,18146.955
9,0.7,5.25,1.5,0.994408011,10728.745,0.99258506,12017.289
9,0.7,5.25,3.5,0.991543964,17066.0431,0.9808944,16297.75
9,0.7,5.25,4.5,0.985521279,17233.6548,0.96894455,17548.25
9,0.7,5.25,5.5,0.97542634,17967.9815,0.9558388,18482.814
9,0.7,5.25,6.5,0.959491308,18532.3357,0.9415895,19200.016
9,0.7,5.25,7.5,0.938720543,19009.0514,0.9241675,19720.379
9,0.7,5.75,1.5,0.99420984,11035.2956,0.9920257,12288.977
9,0.7,5.75,2.5,0.993030959,15162.2486,0.9879119,14972.561
9,0.7,5.75,3.5,0.990748906,17745.3692,0.9796406,16951.418
9,0.7,5.75,4.5,0.984251416,18088.8108,0.9677475,18404.787
9,0.7,5.75,5.5,0.974237485,18999.4962,0.95503294,19539.871
9,0.7,5.75,6.5,0.959417682,19749.6125,0.941305,20448.752
9,0.7,5.75,7.5,0.940689717,20422.735,0.92474395,21151.832
9,0.9,3.75,1.5,0.994854103,9948.04222,0.9947281,11107.736
