hyper,ave_epoch,epoch,ave_indicator,indicator,ave_score,socre
"(1, 1, 'elu')",2103.6,"[253, 10000, 91, 84, 90]",0.9520421531345958,"[0.9566885089026974, 0.9515560222298519, 0.9567311682737958, 0.9460503739920477, 0.9491846922745867]",0.014200231,"[0.01362176, 0.013674772, 0.013972073, 0.01503471, 0.014697841]"
"(1, 1, 'sigmoid')",5091.6,"[2385, 1471, 10000, 10000, 1602]",0.9536812987445712,"[0.9592563654695484, 0.952521438205256, 0.9571741155170947, 0.9470103984051079, 0.9524441761258488]",0.013953795,"[0.013211786, 0.013537828, 0.013900373, 0.01490034, 0.014218642]"
"(1, 1, 'softplus')",2212.0,"[10000, 420, 234, 241, 165]",0.9542977378399324,"[0.9603217353362288, 0.9532403896019914, 0.9571562703334182, 0.948351088177462, 0.9524192057505614]",0.013861826,"[0.01303791, 0.013434937, 0.013903269, 0.014710635, 0.014222376]"
"(1, 1, 'tanh')",4322.4,"[1252, 499, 9502, 10000, 359]",0.9538029446755066,"[0.9554677552134411, 0.9538076745956385, 0.9579490512678629, 0.9483736156473879, 0.9534166266532031]",0.013943913,"[0.013812392, 0.013353192, 0.0137740355, 0.014707427, 0.014072517]"
"(1, 2, 'elu')",447.6,"[573, 879, 82, 83, 621]",0.9708980564097704,"[0.9840617354166319, 0.9835115462644143, 0.9548326196174886, 0.9486490019784116, 0.9834353787719052]",0.010715262,"[0.008263273, 0.007977929, 0.014275316, 0.014668148, 0.008391644]"
"(1, 2, 'sigmoid')",5311.4,"[3523, 10000, 10000, 1582, 1452]",0.9681441586521082,"[0.9816206535484288, 0.9610853325303208, 0.9842616528952572, 0.955360021473306, 0.9583931328132284]",0.011306419,"[0.008873535, 0.012256229, 0.0084266085, 0.013676117, 0.013299607]"
"(1, 2, 'softplus')",6009.6,"[10000, 10000, 10000, 25, 23]",0.7211080138339084,"[0.9648890754291727, 0.9591655284863135, 0.9620040991238658, 0.369087198358131, 0.35039416777205956]",0.028375616,"[0.012264582, 0.012554912, 0.013093075, 0.051414486, 0.05255103]"
"(1, 2, 'tanh')",459.0,"[675, 573, 876, 103, 68]",0.969237251123866,"[0.9790619271865232, 0.978385783780604, 0.9836580546819628, 0.9543077650141232, 0.9507727249561179]",0.011098935,"[0.0094710905, 0.009134188, 0.008586678, 0.013836366, 0.014466357]"
"(1, 3, 'elu')",3780.4,"[10000, 8689, 70, 80, 63]",0.9578537349075391,"[0.9658564913373369, 0.9595818779313543, 0.9590870916518462, 0.9540947459142158, 0.9506484677029426]",0.013304947,"[0.012094438, 0.012490743, 0.013586371, 0.013868581, 0.014484603]"
"(1, 3, 'sigmoid')",3748.2,"[1241, 10000, 2474, 2573, 2453]",0.9845548883085089,"[0.9853485707148008, 0.9834718658905696, 0.9860064169029062, 0.9836775520001215, 0.984270036034146]",0.008060652,"[0.007922671, 0.0079875225, 0.007945802, 0.008269771, 0.008177493]"
"(1, 3, 'softplus')",6046.0,"[10000, 10000, 209, 21, 10000]",0.8479811822676631,"[0.9644686134265619, 0.9586921454761014, 0.9612948383516493, 0.39863559435856044, 0.9568147197254429]",0.020385116,"[0.012337799, 0.012627475, 0.013214713, 0.050196066, 0.013549529]"
"(1, 3, 'tanh')",2249.0,"[10000, 451, 279, 139, 376]",0.9899680095106694,"[0.9901501604716106, 0.9910654652630442, 0.9913823793155064, 0.9899187185861621, 0.9873233239170242]",0.006488873,"[0.006496003, 0.005872678, 0.006235438, 0.006499182, 0.0073410636]"
"(1, 4, 'elu')",3639.8,"[10000, 7962, 116, 65, 56]",0.9576691696454296,"[0.9658676086373261, 0.9596014069542892, 0.9628541607496222, 0.9497402377349171, 0.9502824341509931]",0.013315131,"[0.012092468, 0.012487724, 0.012945784, 0.014511459, 0.014538219]"
"(1, 4, 'sigmoid')",5046.8,"[10000, 1841, 9899, 1437, 2057]",0.9921822440668381,"[0.9930599997050605, 0.9917959434421536, 0.9925714000206239, 0.9911325359059581, 0.9923513412603939]",0.0057334313,"[0.005452697, 0.0056274873, 0.0057893097, 0.006095377, 0.005702285]"
"(1, 4, 'softplus')",4174.0,"[10000, 833, 10000, 19, 18]",0.5711070940303908,"[0.9647822507997841, 0.9585278030914659, 0.9624009385222425, 0.02123608267228394, -0.0514116049338218]",0.033770993,"[0.012283226, 0.012652569, 0.013024522, 0.0640383, 0.066856354]"
"(1, 4, 'tanh')",2333.4,"[480, 872, 137, 178, 10000]",0.9923206323041412,"[0.9954018899539335, 0.991201099340396, 0.9913675843614217, 0.991378042736926, 0.9922545451280292]",0.0056511452,"[0.0044383476, 0.005827931, 0.0062407884, 0.0060104053, 0.005738254]"
"(1, 5, 'elu')",568.8,"[605, 1317, 798, 69, 55]",0.9697590104579785,"[0.9867102540063091, 0.9877223016120386, 0.9871591307018803, 0.9450237262025885, 0.9421796397670759]",0.010579325,"[0.007545534, 0.0068842825, 0.0076115043, 0.015177089, 0.015678218]"
"(1, 5, 'sigmoid')",6678.0,"[10000, 10000, 1478, 10000, 1912]",0.993218179985003,"[0.9933519289046366, 0.9931054245678019, 0.9933290043130085, 0.9931886844248011, 0.993115857714766]",0.005346752,"[0.005336782, 0.0051588626, 0.005486162, 0.0053421534, 0.0054098]"
"(1, 5, 'softplus')",2409.6,"[1130, 10000, 885, 17, 16]",0.554236929507162,"[0.9643928747318886, 0.95859811898987, 0.9875594481649281, -0.0434306156292692, -0.09593517872160784]",0.03337238,"[0.012350942, 0.012641838, 0.007491919, 0.06611997, 0.06825724]"
"(1, 5, 'tanh')",506.6,"[832, 306, 878, 469, 48]",0.9901397599248233,"[0.9970366884391322, 0.9914989464708289, 0.9965790528277978, 0.9931570307396879, 0.9724270811466698]",0.0058802897,"[0.0035630364, 0.0057284427, 0.003928678, 0.0053545516, 0.010826739]"
"(1, 6, 'elu')",1346.2,"[440, 3574, 2048, 63, 606]",0.9842031387457647,"[0.9927070231484825, 0.9974980392614218, 0.996410693182245, 0.9583924086448549, 0.9760075294918193]",0.007204869,"[0.0055896426, 0.0031077098, 0.004024191, 0.01320344, 0.010099359]"
"(1, 6, 'sigmoid')",3643.2,"[10000, 3120, 1952, 1382, 1762]",0.9940810746754611,"[0.9932566045478424, 0.9956210762220123, 0.9952799249327038, 0.9930848122272443, 0.9931629554475023]",0.0049749985,"[0.005374907, 0.004111345, 0.0046147453, 0.005382733, 0.005391263]"
"(1, 6, 'softplus')",4225.2,"[10000, 10000, 1091, 18, 17]",0.5715178020828768,"[0.9647420915405243, 0.9587551044431154, 0.98754716095752, -0.0020653727300028457, -0.051389973796773125]",0.032811094,"[0.012290227, 0.012617849, 0.0074956184, 0.0647961, 0.06685566]"
"(1, 6, 'tanh')",3266.2,"[2161, 672, 2545, 10000, 953]",0.9978520573807759,"[0.9987536773993994, 0.997012045104102, 0.9982839879650223, 0.9980394958174005, 0.997171080617955]",0.002964663,"[0.0023107175, 0.003396153, 0.002782489, 0.0028660563, 0.0034679002]"
"(1, 7, 'elu')",451.0,"[493, 381, 816, 51, 514]",0.9818768374435438,"[0.9876302527251382, 0.9882438790802742, 0.9959484125726665, 0.9524523090112261, 0.9851093338284138]",0.008072495,"[0.007279676, 0.0067364676, 0.00427549, 0.014114502, 0.007956341]"
"(1, 7, 'sigmoid')",3458.6,"[9868, 2235, 1659, 321, 3210]",0.9946467902843587,"[0.9938643949552997, 0.9963314440512728, 0.9962533822947595, 0.9903690253346784, 0.996415704785782]",0.004651484,"[0.0051269648, 0.0037631174, 0.0041114306, 0.0063523725, 0.0039035357]"
"(1, 7, 'softplus')",3460.0,"[10000, 6177, 249, 511, 363]",0.9769808894205401,"[0.9649847461385784, 0.9587339266782315, 0.9869035895846093, 0.9873341594393071, 0.9869480252619741]",0.009457912,"[0.012247862, 0.012621088, 0.007686868, 0.007284804, 0.0074489387]"
"(1, 7, 'tanh')",1420.2,"[2275, 1681, 1468, 1223, 454]",0.9982245446354046,"[0.9989866317540657, 0.9982490450215104, 0.998574464977758, 0.998359997168143, 0.9969525842555461]",0.002688028,"[0.0020836045, 0.0025997865, 0.0025360757, 0.0026213387, 0.003599334]"
"(1, 8, 'elu')",674.2,"[437, 2074, 802, 30, 28]",0.9687043237311306,"[0.9880394086928505, 0.9952299551844791, 0.989109957245228, 0.9293169669120557, 0.9418253306210399]",0.010278821,"[0.007158268, 0.0042910287, 0.0070095165, 0.01720911, 0.01572618]"
"(1, 8, 'sigmoid')",1522.8,"[2182, 2195, 1055, 336, 1846]",0.9954142731945239,"[0.998471696717708, 0.9974763261634562, 0.9958228956391524, 0.9886468341786636, 0.99665361327364]",0.0041379854,"[0.0025588004, 0.0031211656, 0.004341211, 0.0068969857, 0.0037717628]"
"(1, 8, 'softplus')",324.4,"[720, 349, 41, 54, 458]",0.9726808582907175,"[0.9908968287123889, 0.9852902101630312, 0.9487317978232395, 0.9519567930036209, 0.9865286617513073]",0.010148938,"[0.006244936, 0.00753535, 0.015208882, 0.0141878575, 0.007567661]"
"(1, 8, 'tanh')",1656.4,"[3605, 1681, 921, 1192, 883]",0.9988023824775961,"[0.9992295587544402, 0.9988038986715058, 0.9989160570933082, 0.9988564421741625, 0.9982059556945638]",0.0022255122,"[0.0018167761, 0.0021487416, 0.0022114466, 0.00218892, 0.0027616771]"
"(1, 9, 'elu')",2682.2,"[1948, 1364, 10000, 73, 26]",0.9769459779519807,"[0.9958490295342626, 0.993855413922559, 0.9983776594910494, 0.9604728319571545, 0.9361749548548778]",0.008226806,"[0.0042170277, 0.004870197, 0.0027054797, 0.012869115, 0.01647221]"
"(1, 9, 'sigmoid')",1863.2,"[1413, 4773, 1564, 1079, 487]",0.9970993220084814,"[0.9957481995457826, 0.9987796766933922, 0.9980712926687436, 0.9974624170051782, 0.9954350241293103]",0.0034108446,"[0.0042679375, 0.0021703893, 0.0029498942, 0.003260701, 0.0044053006]"
"(1, 9, 'softplus')",375.0,"[584, 805, 36, 47, 403]",0.9738042675578168,"[0.9912460273382789, 0.990656449895452, 0.9460894671845517, 0.9510848658160115, 0.9899445275547893]",0.009715937,"[0.0061239866, 0.006005597, 0.015595887, 0.014316025, 0.00653819]"
"(1, 9, 'tanh')",1676.6,"[1316, 1308, 1031, 1854, 2874]",0.9987359861557614,"[0.9991871952469706, 0.9987994972876976, 0.9988626165644643, 0.9989230122637408, 0.9979076094159338]",0.0022781573,"[0.0018660564, 0.0021526914, 0.0022653053, 0.002124253, 0.002982481]"
"(1, 10, 'elu')",2364.6,"[966, 10000, 57, 762, 38]",0.9788690311730065,"[0.9962354687800484, 0.9980720602068326, 0.9550786301123294, 0.9927298394208294, 0.952229157344993]",0.00815005,"[0.004015939, 0.002728016, 0.014236387, 0.005519158, 0.014250752]"
"(1, 10, 'sigmoid')",3448.6,"[5335, 1835, 10000, 38, 35]",0.6083211060438525,"[0.999168852482351, 0.9982498657820967, 0.9988245667059859, 0.03708104505562093, 0.00828120019320755]",0.027047534,"[0.0018869947, 0.0025991772, 0.002302885, 0.06351784, 0.064930774]"
"(1, 10, 'softplus')",1309.6,"[526, 318, 4836, 825, 43]",0.9828952422889261,"[0.9901790012744631, 0.9879318218410293, 0.998272408740216, 0.9912230358577883, 0.9468699437311333]",0.0074393405,"[0.0064864852, 0.006825289, 0.0027918608, 0.006064193, 0.015028873]"
"(1, 10, 'tanh')",4070.6,"[1363, 2835, 1573, 4582, 10000]",0.998932845320736,"[0.9991056584762965, 0.9990459974906878, 0.9989750411310612, 0.9992526618109738, 0.9982848676946601]",0.0020993291,"[0.0019574168, 0.001919, 0.002150436, 0.0017695362, 0.0027002573]"
"(1, 11, 'elu')",1505.2,"[1354, 2814, 3234, 72, 52]",0.9808749873019226,"[0.9961393548684683, 0.9971458982239056, 0.9984131997299049, 0.9595518323364398, 0.9531246513508942]",0.0074393004,"[0.0040668817, 0.0033192115, 0.0026756814, 0.01301818, 0.01411655]"
"(1, 11, 'sigmoid')",1542.4,"[2118, 678, 881, 3179, 856]",0.9983393665745594,"[0.9988612647629612, 0.9977593868920924, 0.9980804566788327, 0.9992119301081637, 0.9977837944307469]",0.002595821,"[0.0022087318, 0.0029409227, 0.0029428778, 0.0018171183, 0.0030694553]"
"(1, 11, 'softplus')",436.2,"[514, 318, 760, 48, 541]",0.982573394404338,"[0.9908464766012542, 0.9877027753648986, 0.9923498572632202, 0.9506507330256717, 0.9913171297666447]",0.007896388,"[0.0062621837, 0.0068897544, 0.0058750026, 0.014379414, 0.006075583]"
"(1, 11, 'tanh')",1057.4,"[380, 1862, 482, 884, 1679]",0.9985453427936306,"[0.9977025112254493, 0.9991251340147547, 0.9988411891933144, 0.9985817836987643, 0.9984760958358706]",0.0024488955,"[0.0031373166, 0.0018376845, 0.0022865438, 0.002437654, 0.0025452774]"
"(1, 12, 'elu')",807.0,"[239, 1550, 373, 430, 1443]",0.9949666676955186,"[0.9921655048386935, 0.9985159045240161, 0.9929043374331161, 0.9931498447277378, 0.9980977469540291]",0.004409226,"[0.0057934485, 0.0023934871, 0.0056580887, 0.0053573623, 0.0028437437]"
"(1, 12, 'sigmoid')",4748.0,"[8366, 10000, 5313, 32, 29]",0.6091925379354988,"[0.9995297199256683, 0.9992989192670897, 0.9992261103453339, 0.03160180664311274, 0.016306133496289732]",0.026659781,"[0.0014194167, 0.0016450693, 0.0018685848, 0.0636983, 0.06466753]"
"(1, 12, 'softplus')",425.6,"[430, 335, 36, 779, 548]",0.9820214739114139,"[0.9908380366770243, 0.988243323691827, 0.9461369224722076, 0.9927434431949193, 0.9921456435210906]",0.0079766335,"[0.00626507, 0.0067366264, 0.015589022, 0.005513992, 0.005778453]"
