,Index,NStage_T1,RR_T1,TopPres_T1,StoF_T1,DIST_C4H8_T1,RebDuty_T1,hasERROR_T1
0,0,40,1,3.5,1,0.697627366,4370.71247,False
1,1,40,1,3.5,2,0.790056963,7153.65847,False
2,2,40,1,3.5,3,0.87034842,11316.5496,False
3,3,40,1,3.5,4,0.9331298729999999,18295.1818,False
4,4,40,1,3.5,5,0.968025336,25120.1395,False
5,5,40,1,3.5,6,0.9826502309999999,32078.9646,False
6,6,40,1,3.5,7,0.989040392,39064.5458,False
7,7,40,1,3.5,8,0.992276487,46048.3619,False
8,8,40,1,4.0,1,0.700720219,4594.27162,False
9,9,40,1,4.0,2,0.7986191840000001,7695.75598,False
10,10,40,1,4.0,3,0.881980823,12447.4199,False
11,11,40,1,4.0,4,0.9419313429999999,20115.3756,False
12,12,40,1,4.0,5,0.971542162,27235.1857,False
13,13,40,1,4.0,6,0.9837041009999999,34440.0093,False
14,14,40,1,4.0,7,0.989276125,41653.6261,False
15,15,40,1,4.0,8,0.9921813209999999,48858.7254,False
16,16,40,1,4.5,1,0.70327456,4806.03479,False
17,17,40,1,4.5,2,0.805823697,8228.62277,False
18,18,40,1,4.5,3,0.890868687,14203.7258,False
19,19,40,1,4.5,4,0.947498408,21733.8978,False
20,20,40,1,4.5,5,0.9733431,29109.4401,False
21,21,40,1,4.5,6,0.9840609370000001,36536.6691,False
22,22,40,1,4.5,7,0.989128419,43958.7454,False
23,23,40,1,4.5,8,0.991870292,51365.0199,False
24,24,40,1,5.0,1,0.7053966190000001,5008.71599,False
25,25,40,1,5.0,2,0.811877889,8765.714890000001,False
26,26,40,1,5.0,3,0.897808376,15816.2617,False
27,27,40,1,5.0,4,0.95093009,23195.3601,False
28,28,40,1,5.0,5,0.974133189,30802.3171,False
29,29,40,1,5.0,6,0.983950106,38426.888999999996,False
30,30,40,1,5.0,7,0.9887213770000001,46037.9382,False
31,31,40,1,5.0,8,0.99139312,53632.5032,False
32,32,40,1,5.5,1,0.7071537390000001,5204.2196,False
33,33,40,1,5.5,2,0.816973525,9321.880079999999,False
34,34,40,1,5.5,3,0.9030499790000001,16872.224,False
35,35,40,1,5.5,4,0.952976162,24533.6575,False
36,36,40,1,5.5,5,0.974321296,32340.6705,False
37,37,40,1,5.5,6,0.983518045,40147.3907,False
38,38,40,1,5.5,7,0.988144411,47936.8596,False
39,39,40,1,5.5,8,0.990787374,55707.9454,False
40,40,40,1,6.0,1,0.708614375,5394.4561,False
41,41,40,1,6.0,2,0.821237207,9950.76368,False
42,42,40,1,6.0,3,0.90684172,17866.9689,False
43,43,40,1,6.0,4,0.954102118,25764.0791,False
44,44,40,1,6.0,5,0.9740171120000001,33752.0789,False
45,45,40,1,6.0,6,0.982879197,41730.5405,False
46,46,40,1,6.0,7,0.987426776,49687.529,False
47,47,40,1,6.0,8,0.9900554640000001,57625.2063,False
48,48,40,2,3.5,1,0.7443323009999999,5784.10342,False
49,49,40,2,3.5,2,0.842152828,8622.12497,False
50,50,40,2,3.5,3,0.9142864009999999,12837.2143,False
51,51,40,2,3.5,4,0.95804932,19815.4904,False
52,52,40,2,3.5,5,0.97802011,26562.6642,False
53,53,40,2,3.5,6,0.986666831,33486.636,False
54,54,40,2,3.5,7,0.990909615,40457.8754,False
55,55,40,2,3.5,8,0.993262465,47436.7527,False
56,56,40,2,4.0,1,0.745363032,5987.05509,False
57,57,40,2,4.0,2,0.847261617,9143.71932,False
58,58,40,2,4.0,3,0.9201003520000001,13952.0426,False
59,59,40,2,4.0,4,0.961026044,21574.1441,False
60,60,40,2,4.0,5,0.978848965,28634.2056,False
61,61,40,2,4.0,6,0.986715555,35816.212999999996,False
62,62,40,2,4.0,7,0.990674955,43023.7252,False
63,63,40,2,4.0,8,0.992932342,50223.083,False
64,64,40,2,4.5,1,0.746001512,6179.795770000001,False
65,65,40,2,4.5,2,0.851143111,9657.87335,False
66,66,40,2,4.5,3,0.9238183320000001,16097.9124,False
67,67,40,2,4.5,4,0.9625110840000001,23145.4272,False
68,68,40,2,4.5,5,0.9789624490000001,30478.5054,False
69,69,40,2,4.5,6,0.986391571,37890.0961,False
70,70,40,2,4.5,7,0.990222154,45305.5977,False
71,71,40,2,4.5,8,0.99245923,52709.8518,False
72,72,40,2,5.0,1,0.7462979390000001,6364.6005700000005,False
73,73,40,2,5.0,2,0.85408537,10176.5768,False
74,74,40,2,5.0,3,0.926385406,17244.4561,False
75,75,40,2,5.0,4,0.963053618,24568.7883,False
76,76,40,2,5.0,5,0.9786320759999999,32144.9839,False
77,77,40,2,5.0,6,0.985830015,39757.9017,False
78,78,40,2,5.0,7,0.9896214240000001,47365.5778,False
79,79,40,2,5.0,8,0.9918613940000001,54959.1189,False
80,80,40,2,5.5,1,0.7463591820000001,6543.0387200000005,False
81,81,40,2,5.5,2,0.856221957,10720.296999999999,False
82,82,40,2,5.5,3,0.9278773029999999,18269.4528,False
83,83,40,2,5.5,4,0.963010785,25880.0845,False
84,84,40,2,5.5,5,0.97800738,33660.0938,False
85,85,40,2,5.5,6,0.9850850390000001,41460.2102,False
86,86,40,2,5.5,7,0.988882545,49246.4419,False
87,87,40,2,5.5,8,0.991161075,57016.2474,False
88,88,40,2,6.0,1,0.746203745,6716.78392,False
89,89,40,2,6.0,2,0.857688041,11353.3053,False
90,90,40,2,6.0,3,0.928557368,19231.0639,False
91,91,40,2,6.0,4,0.96248025,27084.909,False
92,92,40,2,6.0,5,0.9771344259999999,35054.1669,False
93,93,40,2,6.0,6,0.9841708990000001,43025.4455,False
94,94,40,2,6.0,7,0.9880222909999999,50979.6228,False
95,95,40,2,6.0,8,0.9903475490000001,58916.3822,False
96,96,40,3,3.5,1,0.781006423,7191.379790000001,False
97,97,40,3,3.5,2,0.88225737,10073.3488,False
98,98,40,3,3.5,3,0.941814057,14307.5428,False
99,99,40,3,3.5,4,0.970445448,21255.6729,False
100,100,40,3,3.5,5,0.9829902079999999,27971.4501,False
101,101,40,3,3.5,6,0.988886191,34880.8598,False
102,102,40,3,3.5,7,0.992034412,41847.2972,False
103,103,40,3,3.5,8,0.993882548,48824.4153,False
104,104,40,3,4.0,1,0.780272945,7373.796990000001,False
105,105,40,3,4.0,2,0.883727741,10572.0049,False
106,106,40,3,4.0,3,0.943064734,15401.8232,False
107,107,40,3,4.0,4,0.97067446,22979.3961,False
108,108,40,3,4.0,5,0.982685197,30017.4797,False
109,109,40,3,4.0,6,0.988443627,37186.5962,False
110,110,40,3,4.0,7,0.99154984,44389.9047,False
111,111,40,3,4.0,8,0.993411862,51590.3447,False
112,112,40,3,4.5,1,0.7792663329999999,7547.353029999999,False
113,113,40,3,4.5,2,0.88440204,11065.0073,False
114,114,40,3,4.5,3,0.943239981,17634.7892,False
115,115,40,3,4.5,4,0.9703027879999999,24521.7914,False
116,116,40,3,4.5,5,0.982050148,31834.3949,False
117,117,40,3,4.5,6,0.987775408,39238.1326,False
118,118,40,3,4.5,7,0.990919475,46651.574,False
119,119,40,3,4.5,8,0.992836733,54054.2793,False
120,120,40,3,5.0,1,0.7780421270000001,7713.9216799999995,False
121,121,40,3,5.0,2,0.884452276,11565.4847,False
122,122,40,3,5.0,3,0.9430294640000001,18633.7271,False
123,123,40,3,5.0,4,0.9695429440000001,25920.5207,False
124,124,40,3,5.0,5,0.981208137,33481.1686,False
125,125,40,3,5.0,6,0.9869643109999999,41087.6809,False
126,126,40,3,5.0,7,0.990176884,48692.3436,False
127,127,40,3,5.0,8,0.992153686,56284.3244,False
128,128,40,3,5.5,1,0.776649171,7875.219509999999,False
129,129,40,3,5.5,2,0.883991,12094.3909,False
130,130,40,3,5.5,3,0.942273762,19629.7909,False
131,131,40,3,5.5,4,0.968470451,27208.7088,False
132,132,40,3,5.5,5,0.9801489320000001,34978.4908,False
133,133,40,3,5.5,6,0.986017967,42770.5153,False
134,134,40,3,5.5,7,0.989322264,50555.27,False
135,135,40,3,5.5,8,0.9913798779999999,58324.1697,False
136,136,40,3,6.0,1,0.7751203870000001,8032.4278,False
137,137,40,3,6.0,2,0.883126823,12721.2619,False
138,138,40,3,6.0,3,0.94114074,20567.576,False
139,139,40,3,6.0,4,0.96715827,28398.4237,False
140,140,40,3,6.0,5,0.978967715,36351.9009,False
141,141,40,3,6.0,6,0.984940873,44318.764,False
142,142,40,3,6.0,7,0.988367752,52271.2111,False
143,143,40,3,6.0,8,0.990507987,60207.7038,False
144,144,40,4,3.5,1,0.807405438,8592.49288,False
145,145,40,4,3.5,2,0.90777084,11499.5899,False
146,146,40,4,3.5,3,0.955917879,15737.2708,False
147,147,40,4,3.5,4,0.976387914,22664.6247,False
148,148,40,4,3.5,5,0.985564764,29368.2344,False
149,149,40,4,3.5,6,0.990140971,36269.6093,False
150,150,40,4,3.5,7,0.992706665,43233.6303,False
151,151,40,4,3.5,8,0.9942834309999999,50205.1616,False
152,152,40,4,4.0,1,0.8053147970000001,8754.24364,False
153,153,40,4,4.0,2,0.9066277359999999,11976.0907,False
154,154,40,4,4.0,3,0.9549343779999999,16809.4292,False
155,155,40,4,4.0,4,0.975512307,24362.9439,False
156,156,40,4,4.0,5,0.98475739,31389.675,False
157,157,40,4,4.0,6,0.989427857,38553.4538,False
158,158,40,4,4.0,7,0.9920680000000001,45753.8497,False
159,159,40,4,4.0,8,0.9937164409999999,52951.1561,False
160,160,40,4,4.5,1,0.803045329,8908.56535,False
