hyper,ave_epoch,epoch,ave_indicator,indicator,ave_score,socre
"(1, 1, 'elu')",2048.8,"[10000, 32, 57, 92, 63]",0.8134722958293482,"[0.8377756060880203, 0.7676733359614576, 0.8072389275888987, 0.8246087995880568, 0.8300648099203078]",1554.6385,"[1430.2498, 1696.0795, 1623.3618, 1536.6066, 1486.8956]"
"(1, 1, 'sigmoid')",9372.2,"[10000, 6861, 10000, 10000, 10000]",0.8205285811289293,"[0.83531722013165, 0.7993992481108514, 0.8108941410835175, 0.8260776128467963, 0.8309546834718315]",1527.6248,"[1441.0463, 1576.0244, 1607.8967, 1530.1588, 1482.9974]"
"(1, 1, 'softplus')",2046.8,"[10000, 27, 23, 104, 80]",0.7958088069588459,"[0.8370749901028076, 0.7734222657779759, 0.7054167607029848, 0.8290496010026913, 0.8340804172077697]",1620.2751,"[1433.335, 1674.9633, 2006.8259, 1517.0288, 1469.2228]"
"(1, 1, 'tanh')",5930.4,"[10000, 8366, 748, 538, 10000]",0.8219038218946038,"[0.8364579415223751, 0.7996541091123114, 0.8130910647015767, 0.8265710786661654, 0.83374491547059]",1521.6587,"[1436.0466, 1575.023, 1598.5297, 1527.9866, 1470.7074]"
"(1, 2, 'elu')",1927.4,"[45, 392, 26, 9149, 25]",0.815138472909724,"[0.7851162685445006, 0.829283603129782, 0.7918987980394964, 0.8473836811995709, 0.8220100136352702]",1548.3633,"[1646.0977, 1453.8992, 1686.7198, 1433.373, 1521.7264]"
"(1, 2, 'sigmoid')",4887.0,"[10000, 10000, 1797, 1408, 1230]",0.9703978952434722,"[0.9748256388225209, 0.9687524051628706, 0.9693543551052279, 0.9687613164516208, 0.9702957606751208]",620.5729,"[563.421, 622.0209, 647.27686, 648.4928, 621.653]"
"(1, 2, 'softplus')",2128.2,"[436, 10000, 20, 101, 84]",0.8291633047432618,"[0.9754174630155458, 0.8287582660922922, 0.6738404988486486, 0.8312645087794049, 0.836535786980418]",1418.0037,"[556.7589, 1456.1345, 2111.644, 1507.1692, 1458.311]"
"(1, 2, 'tanh')",840.2,"[1292, 799, 849, 738, 523]",0.9726220247708227,"[0.9754989692786882, 0.9693992487621546, 0.9730579716096658, 0.9720076554249106, 0.9731462787786944]",596.647,"[555.83514, 615.54913, 606.90515, 613.8728, 591.0729]"
"(1, 3, 'elu')",2106.2,"[33, 441, 24, 10000, 33]",0.8388295814381049,"[0.8105064013870598, 0.8296880508526181, 0.7706444517567648, 0.9852366261825383, 0.7980723770115435]",1367.074,"[1545.7921, 1452.1759, 1770.7625, 445.81183, 1620.827]"
"(1, 3, 'sigmoid')",1673.6,"[723, 2240, 2725, 1259, 1421]",0.9857604400091775,"[0.9939432750990429, 0.9821585606118156, 0.9861182590268401, 0.9824921969882826, 0.9840899083199061]",424.49176,"[276.35846, 470.01486, 435.6399, 485.48364, 454.962]"
"(1, 3, 'softplus')",2462.4,"[1060, 114, 1080, 58, 10000]",0.9242893645784058,"[0.9937041056385185, 0.962970050607949, 0.9835383131359541, 0.8327061751929362, 0.8485281783166714]",867.5614,"[281.7621, 677.13184, 474.39798, 1500.7168, 1403.7985]"
"(1, 3, 'tanh')",319.2,"[363, 44, 260, 543, 386]",0.9052938058108186,"[0.9939356912556381, 0.5615091131327296, 0.9925722906758362, 0.9844847912278927, 0.9939671427619966]",732.49744,"[276.5314, 2330.113, 318.6641, 457.0225, 280.15625]"
"(1, 4, 'elu')",5436.8,"[34, 677, 10000, 10000, 6473]",0.8299423704382111,"[0.7960696000496561, 0.8299305679748791, 0.8258829449074302, 0.8480447286933611, 0.8497840105657288]",1485.1658,"[1603.5955, 1451.1415, 1542.8594, 1430.2655, 1397.9668]"
"(1, 4, 'sigmoid')",3792.2,"[10000, 4787, 1639, 1221, 1314]",0.9922713827733263,"[0.9966585897757831, 0.9949797381750067, 0.9882600574649403, 0.9942869322793918, 0.9871715961715103]",308.21457,"[205.2668, 249.32155, 400.62558, 277.32785, 408.5311]"
"(1, 4, 'softplus')",4107.4,"[395, 10000, 56, 10000, 86]",0.8945653638529633,"[0.9907478179834217, 0.9841397360146186, 0.8148568547798427, 0.8463447522058163, 0.836737658281117]",1054.2666,"[341.567, 443.15115, 1590.9608, 1438.2438, 1457.4102]"
"(1, 4, 'tanh')",684.0,"[673, 975, 374, 785, 613]",0.993357808224388,"[0.9953753060137785, 0.9929924872175752, 0.9932208492824015, 0.9947155329868541, 0.9904848656213303]",291.80966,"[241.48787, 294.5633, 304.4341, 266.72232, 351.84085]"
"(1, 5, 'elu')",2721.4,"[320, 1219, 1242, 10000, 826]",0.989618086177402,"[0.9874319486273453, 0.9941240518267729, 0.9864604418160255, 0.9863633660647604, 0.9937106225521062]",362.51593,"[398.09598, 269.73398, 430.23715, 428.46207, 286.05045]"
"(1, 5, 'sigmoid')",2110.6,"[1008, 2041, 3145, 2847, 1512]",0.9977516974697982,"[0.997199156582173, 0.9977591024479597, 0.9984465824652767, 0.9976479259012123, 0.9977057199523699]",170.18945,"[187.93091, 166.57417, 145.73027, 177.94438, 172.7675]"
"(1, 5, 'softplus')",988.0,"[1055, 2017, 1029, 423, 416]",0.9894443110742202,"[0.9941892279767629, 0.9978839284768399, 0.9858194355751343, 0.9842229816457947, 0.9851059816965684]",354.78363,"[270.6891, 161.86832, 440.30383, 460.86237, 440.19464]"
"(1, 5, 'tanh')",803.6,"[474, 1121, 364, 1564, 495]",0.9976322696033604,"[0.9975347813808043, 0.9976944524022272, 0.9971928411410955, 0.9981403894406659, 0.9975988836520092]",175.22827,"[176.31187, 168.95993, 195.90213, 158.22307, 176.7443]"
"(1, 6, 'elu')",2820.6,"[389, 1832, 1135, 10000, 747]",0.9950300164809726,"[0.9941665827108715, 0.9985673464905759, 0.9947703824669418, 0.9933517014326517, 0.9942940693038216]",248.68375,"[271.216, 133.18866, 267.38724, 299.16724, 272.45956]"
"(1, 6, 'sigmoid')",1026.6,"[727, 767, 2135, 850, 654]",0.9974832922669513,"[0.9975661266985577, 0.9972162855071205, 0.9984690445360886, 0.9979365511833387, 0.996228453409651]",178.73962,"[175.18736, 185.656, 144.67282, 166.6693, 221.51265]"
