,Index,NStage_T2,RR_T2,TopPres_T2,StoF_T2,DIST_C4H6_T2,RebDuty_T2,hasERROR_T2
0,1,8,0.2,3.5,2,0.993140867,10622.6792,False
1,2,8,0.2,3.5,3,0.988219712,13123.8985,False
2,3,8,0.2,3.5,4,0.9592897229999999,12781.556,False
3,4,8,0.2,3.5,5,0.906176037,12396.7946,False
4,6,8,0.2,3.5,7,0.778579056,10672.7228,False
5,7,8,0.2,3.5,8,0.7181205079999999,9752.71268,False
6,8,8,0.2,4.0,1,0.994446967,7069.8845,False
7,9,8,0.2,4.0,2,0.9926882220000001,11135.3265,False
8,10,8,0.2,4.0,3,0.987807439,13865.8385,False
9,11,8,0.2,4.0,4,0.962024946,13799.9576,False
10,12,8,0.2,4.0,5,0.916252776,13770.665,False
11,13,8,0.2,4.0,6,0.860697068,13349.5779,False
12,14,8,0.2,4.0,7,0.803594708,12805.6397,False
13,15,8,0.2,4.0,8,0.749182865,12249.4266,False
14,17,8,0.2,4.5,2,0.9922418890000001,11603.7081,False
15,18,8,0.2,4.5,3,0.9873850190000001,14546.1764,False
16,20,8,0.2,4.5,5,0.923567173,14992.5646,False
17,21,8,0.2,4.5,6,0.87403215,14890.0018,False
18,22,8,0.2,4.5,7,0.822684532,14666.8296,False
19,23,8,0.2,4.5,8,0.7733774609999999,14423.3568,False
20,25,8,0.2,5.0,2,0.991729286,12038.8566,False
21,27,8,0.2,5.0,4,0.9643675859999999,15571.1066,False
22,28,8,0.2,5.0,5,0.9285556770000001,16097.8944,False
23,29,8,0.2,5.0,6,0.88396729,16272.221000000001,False
24,30,8,0.2,5.0,7,0.83729971,16327.266000000001,False
25,31,8,0.2,5.0,8,0.7923495420000001,16359.1212,False
26,32,8,0.2,5.5,1,0.993822312,7772.58542,False
27,33,8,0.2,5.5,2,0.99115707,12446.3008,False
28,34,8,0.2,5.5,3,0.986236995,15767.8388,False
29,35,8,0.2,5.5,4,0.964386192,16359.938999999998,False
30,36,8,0.2,5.5,5,0.931728923,17112.7575,False
31,37,8,0.2,5.5,6,0.891136907,17531.0179,False
32,38,8,0.2,5.5,7,0.848427088,17833.6911,False
33,39,8,0.2,5.5,8,0.807220352,18111.929,False
34,40,8,0.2,6.0,1,0.9935463109999999,7978.3050299999995,False
35,42,8,0.2,6.0,3,0.985820971,16319.4878,False
36,43,8,0.2,6.0,4,0.963805703,17099.6417,False
37,44,8,0.2,6.0,5,0.933660663,18056.0737,False
38,45,8,0.2,6.0,6,0.896154923,18692.2152,False
39,46,8,0.2,6.0,7,0.856740765,19217.839,False
40,47,8,0.2,6.0,8,0.818581316,19717.6434,False
41,48,8,0.4,3.5,1,0.994853471,7026.4627900000005,False
42,49,8,0.4,3.5,2,0.9943787000000001,10826.024,False
43,50,8,0.4,3.5,3,0.9930689220000001,13326.1041,False
44,51,8,0.4,3.5,4,0.9828351740000001,13203.6841,False
45,52,8,0.4,3.5,5,0.953287329,13171.9168,False
46,55,8,0.4,3.5,8,0.797564023,11153.9224,False
47,56,8,0.4,4.0,1,0.9947659990000001,7300.22952,False
48,57,8,0.4,4.0,2,0.994094088,11348.5357,False
49,58,8,0.4,4.0,3,0.992561618,14080.2638,False
50,59,8,0.4,4.0,4,0.982578506,14183.9297,False
51,61,8,0.4,4.0,6,0.91893907,14271.8585,False
52,62,8,0.4,4.0,7,0.8725225790000001,13916.6701,False
53,63,8,0.4,4.0,8,0.824645105,13492.9365,False
54,64,8,0.4,4.5,1,0.994668843,7549.0793,False
55,65,8,0.4,4.5,2,0.993807253,11822.2131,False
56,66,8,0.4,4.5,3,0.9921680209999999,14764.1102,False
57,67,8,0.4,4.5,4,0.9821012809999999,15083.632,False
58,68,8,0.4,4.5,5,0.9607577079999999,15577.7571,False
59,69,8,0.4,4.5,6,0.9273412959999999,15703.3267,False
60,70,8,0.4,4.5,7,0.887018545,15655.3353,False
61,71,8,0.4,4.5,8,0.844915645,15540.4139,False
62,72,8,0.4,5.0,1,0.9945483540000001,7780.954709999999,False
63,73,8,0.4,5.0,2,0.9934782329999999,12261.4202,False
64,75,8,0.4,5.0,4,0.9812810279999999,15919.5634,False
65,76,8,0.4,5.0,5,0.962038946,16627.6366,False
66,77,8,0.4,5.0,6,0.932622293,17000.3707,False
67,78,8,0.4,5.0,7,0.897051058,17216.165,False
68,79,8,0.4,5.0,8,0.859688637,17370.0155,False
69,80,8,0.4,5.5,1,0.9944028229999999,7998.52993,False
70,81,8,0.4,5.5,2,0.993137167,12669.5083,False
71,82,8,0.4,5.5,3,0.9904149659999999,16022.5302,False
72,83,8,0.4,5.5,4,0.980164785,16701.8843,False
73,84,8,0.4,5.5,5,0.962239937,17604.1676,False
74,85,8,0.4,5.5,6,0.9357881459999999,18194.9044,False
75,86,8,0.4,5.5,7,0.9038908090000001,18642.9181,False
76,87,8,0.4,5.5,8,0.8702957040000001,19033.8176,False
77,88,8,0.4,6.0,1,0.9942303859999999,8203.749020000001,False
78,90,8,0.4,6.0,3,0.989382347,16593.4219,False
79,91,8,0.4,6.0,4,0.978818911,17439.3719,False
80,92,8,0.4,6.0,5,0.961735055,18521.3111,False
81,93,8,0.4,6.0,6,0.937397215,19308.2249,False
82,94,8,0.4,6.0,7,0.908300828,19963.9588,False
83,95,8,0.4,6.0,8,0.877692327,20567.8653,False
84,96,8,0.6,3.5,1,0.994917352,7288.950690000001,False
85,97,8,0.6,3.5,2,0.994675495,11065.8449,False
86,98,8,0.6,3.5,3,0.9940426440000001,13558.1752,False
87,99,8,0.6,3.5,4,0.990164776,13452.4309,False
88,100,8,0.6,3.5,5,0.97695355,13608.048999999999,False
89,101,8,0.6,3.5,6,0.947310505,13355.5516,False
90,103,8,0.6,3.5,8,0.858124909,12222.0579,False
91,104,8,0.6,4.0,1,0.994862975,7556.04145,False
92,105,8,0.6,4.0,2,0.994494718,11588.1999,False
93,106,8,0.6,4.0,3,0.993601172,14326.7159,False
94,107,8,0.6,4.0,4,0.98926443,14442.8884,False
95,108,8,0.6,4.0,5,0.977777632,14823.9107,False
96,109,8,0.6,4.0,6,0.953866597,14861.7848,False
97,110,8,0.6,4.0,7,0.9197528209999999,14697.2094,False
98,111,8,0.6,4.0,8,0.88023127,14421.156,False
99,112,8,0.6,4.5,1,0.9948006509999999,7799.87205,False
100,113,8,0.6,4.5,2,0.9942676090000001,12067.7682,False
101,114,8,0.6,4.5,3,0.993123608,15027.5001,False
102,116,8,0.6,4.5,5,0.9778998390000001,15939.0177,False
103,117,8,0.6,4.5,6,0.957669592,16221.9007,False
104,118,8,0.6,4.5,7,0.929098475,16337.3621,False
105,119,8,0.6,4.5,8,0.8955454070000001,16356.6451,False
106,120,8,0.6,5.0,1,0.9947213009999999,8027.44242,False
107,121,8,0.6,5.0,2,0.9939965270000001,12511.9252,False
108,123,8,0.6,5.0,4,0.987472578,16190.8631,False
109,124,8,0.6,5.0,5,0.97732801,16975.2619,False
110,125,8,0.6,5.0,6,0.959387054,17471.9893,False
111,126,8,0.6,5.0,7,0.93477554,17827.4998,False
112,127,8,0.6,5.0,8,0.905768107,18100.5244,False
113,128,8,0.6,5.5,1,0.994609583,8244.63343,False
114,129,8,0.6,5.5,2,0.99366563,12928.54,False
115,130,8,0.6,5.5,3,0.9919240109999999,16284.1238,False
116,131,8,0.6,5.5,4,0.986341183,16979.5441,False
117,132,8,0.6,5.5,5,0.97632539,17946.0015,False
118,133,8,0.6,5.5,6,0.95984162,18636.8333,False
119,134,8,0.6,5.5,7,0.9378860259999999,19203.2559,False
120,135,8,0.6,5.5,8,0.912184557,19698.3092,False
121,136,8,0.6,6.0,1,0.994471317,8450.3354,False
122,138,8,0.6,6.0,3,0.991188112,16856.0559,False
123,139,8,0.6,6.0,4,0.985060679,17722.735,False
124,140,8,0.6,6.0,5,0.974956963,18860.8343,False
125,141,8,0.6,6.0,6,0.9594203240000001,19731.6021,False
126,142,8,0.6,6.0,7,0.9392313720000001,20488.5481,False
127,143,8,0.6,6.0,8,0.9160339820000001,21183.66,False
128,144,8,0.8,3.5,1,0.9949392890000001,7564.39291,False
129,145,8,0.8,3.5,2,0.9947613190000001,11335.1712,False
130,146,8,0.8,3.5,3,0.994361565,13817.0058,False
131,147,8,0.8,3.5,4,0.992449925,13689.8521,False
132,148,8,0.8,3.5,5,0.986533805,13887.4276,False
133,151,8,0.8,3.5,8,0.90324041,13029.2277,False
134,152,8,0.8,4.0,1,0.99489838,7826.026440000001,False
135,153,8,0.8,4.0,2,0.9946190220000001,11855.4884,False
136,154,8,0.8,4.0,3,0.9940279679999999,14587.3318,False
137,155,8,0.8,4.0,4,0.991659313,14692.6494,False
138,156,8,0.8,4.0,5,0.985855652,15105.2919,False
139,157,8,0.8,4.0,6,0.9725223,15254.0118,False
140,158,8,0.8,4.0,7,0.949621266,15237.0895,False
141,159,8,0.8,4.0,8,0.919591898,15106.6446,False
142,160,8,0.8,4.5,1,0.994846734,8066.741709999999,False
143,161,8,0.8,4.5,2,0.9944550670000001,12329.9057,False
144,162,8,0.8,4.5,3,0.9936801009999999,15286.669,False
145,164,8,0.8,4.5,5,0.9851416609999999,16222.6151,False
146,165,8,0.8,4.5,6,0.973422132,16585.3837,False
147,166,8,0.8,4.5,7,0.954481958,16813.577,False
148,167,8,0.8,4.5,8,0.929788935,16953.8988,False
149,168,8,0.8,5.0,1,0.994779657,8292.09432,False
150,169,8,0.8,5.0,2,0.994248868,12771.2443,False
151,171,8,0.8,5.0,4,0.990110322,16452.7516,False
152,172,8,0.8,5.0,5,0.98413717,17263.087,False
153,173,8,0.8,5.0,6,0.973231802,17822.0672,False
154,174,8,0.8,5.0,7,0.956748752,18263.7143,False
