hyper,ave_epoch,epoch,ave_indicator,indicator,ave_score,socre
"(1, 8, 'elu')",1504.4,"[696, 1015, 4395, 361, 1055]",0.958895692167661,"[0.9468263291485932, 0.9668026713951189, 0.9689872235990525, 0.9405253419452574, 0.971336894750283]",0.024575397,"[0.028048562, 0.023438154, 0.020711295, 0.027219977, 0.023459004]"
"(1, 8, 'sigmoid')",755.8,"[1176, 1262, 677, 310, 354]",0.962194756666787,"[0.9655855945618759, 0.9723194336110921, 0.9592072924058982, 0.9631517739472008, 0.9507096888078685]",0.023981815,"[0.022564849, 0.021402245, 0.023753531, 0.021425456, 0.030763002]"
"(1, 8, 'softplus')",744.0,"[1465, 1163, 484, 290, 318]",0.9550207554965446,"[0.966091424575063, 0.9704803329614264, 0.9497314584048926, 0.9379448506632726, 0.9508557108780682]",0.02587806,"[0.022398405, 0.022101795, 0.026368478, 0.02780422, 0.0307174]"
"(1, 8, 'tanh')",460.0,"[761, 721, 117, 472, 229]",0.9290147833420747,"[0.954605454388427, 0.9607225364148784, 0.8308803325212631, 0.9494727044486471, 0.9493928889371578]",0.03120714,"[0.025915772, 0.025494326, 0.04836531, 0.025089085, 0.031171214]"
"(1, 9, 'elu')",605.0,"[890, 413, 263, 460, 999]",0.953655271250528,"[0.9603511305056048, 0.9573405406488563, 0.9258307677346516, 0.9580780292206172, 0.9666758881429095]",0.026193282,"[0.024220198, 0.026569264, 0.0320294, 0.02285297, 0.025294567]"
"(1, 9, 'sigmoid')",557.8,"[874, 842, 412, 401, 260]",0.963875691846189,"[0.9643531828014237, 0.9733598963476788, 0.9573951389862386, 0.9631051617570754, 0.9611650793385288]",0.023396393,"[0.02296533, 0.020996155, 0.024275405, 0.021439005, 0.027306067]"
"(1, 9, 'softplus')",463.6,"[581, 369, 446, 544, 378]",0.9562727665199482,"[0.9565136885728968, 0.9547010175902193, 0.9470040933931868, 0.95878430557494, 0.964360727468498]",0.025727317,"[0.025365219, 0.027378902, 0.027074352, 0.022659644, 0.026158473]"
"(1, 9, 'tanh')",515.6,"[578, 688, 545, 326, 441]",0.9586576490665983,"[0.9641330900347488, 0.9645544051563669, 0.9518244149020604, 0.9563420430498607, 0.9564342921899545]",0.02506229,"[0.023036117, 0.02421882, 0.025813708, 0.02332134, 0.028921466]"
"(1, 10, 'elu')",469.6,"[672, 365, 396, 321, 594]",0.955581276326259,"[0.9484603402762442, 0.9524687063257318, 0.9561617577878553, 0.9554923443412708, 0.9653232329001932]",0.025926787,"[0.027614238, 0.028045401, 0.024624277, 0.023547193, 0.025802825]"
"(1, 10, 'sigmoid')",600.0,"[862, 979, 442, 421, 296]",0.9632490374016882,"[0.9586823296328393, 0.972315442920879, 0.9645136544512957, 0.9679588978033684, 0.952774862200059]",0.023674792,"[0.024724653, 0.021403788, 0.022154788, 0.01997908, 0.03011165]"
"(1, 10, 'softplus')",2517.2,"[10000, 1199, 681, 440, 266]",0.9696447373393825,"[0.9675029854459352, 0.9761082725050899, 0.9666405317162484, 0.964164933589208, 0.9738069634404312]",0.021369152,"[0.021927243, 0.019883627, 0.021480603, 0.02112885, 0.022425434]"
"(1, 10, 'tanh')",383.6,"[458, 381, 479, 399, 201]",0.9501955391084153,"[0.9399846518290196, 0.9577077252412637, 0.9490560998627577, 0.9567390248522597, 0.9474901937567761]",0.027552996,"[0.029798435, 0.026454668, 0.026545016, 0.023215067, 0.031751785]"
"(1, 11, 'elu')",506.4,"[757, 663, 349, 346, 417]",0.9639988888636022,"[0.9571491178111267, 0.9751667724542935, 0.9574252857717994, 0.957535776761859, 0.9727174915189327]",0.023121001,"[0.025179215, 0.020271618, 0.024266815, 0.023000292, 0.022887064]"
"(1, 11, 'sigmoid')",523.2,"[742, 727, 572, 298, 277]",0.9584514283826836,"[0.9572040892677991, 0.9624602591845799, 0.9625102334285216, 0.9612996311372068, 0.9487829288953105]",0.02523489,"[0.025163058, 0.024923984, 0.022771586, 0.021957321, 0.031358503]"
"(1, 11, 'softplus')",511.6,"[782, 602, 482, 393, 299]",0.966112132604248,"[0.9688593345822386, 0.962841657744762, 0.9635321133144591, 0.9613218181869201, 0.9740057391928602]",0.022602424,"[0.02146477, 0.024797048, 0.022459095, 0.021951023, 0.02234018]"
"(1, 11, 'tanh')",509.0,"[635, 801, 508, 307, 294]",0.9598033099824569,"[0.9636581994696105, 0.9623597041096205, 0.9588316733298105, 0.9624261105365252, 0.9517408624667176]",0.024816602,"[0.023188118, 0.024957342, 0.023862643, 0.021635396, 0.030439515]"
"(1, 12, 'elu')",453.2,"[749, 451, 349, 331, 386]",0.9643828204916012,"[0.9681278017777766, 0.969969734977267, 0.9560924867864611, 0.9605368994379707, 0.9671871794785305]",0.023184735,"[0.021715423, 0.022292122, 0.024643723, 0.02217264, 0.02509977]"
"(1, 12, 'sigmoid')",543.8,"[682, 718, 454, 576, 289]",0.9578904198460181,"[0.9566706895964213, 0.9630327753414839, 0.948618584087955, 0.9684802081746118, 0.9526498420296183]",0.02533574,"[0.025319386, 0.024733195, 0.02665876, 0.019815885, 0.030151483]"
"(1, 12, 'softplus')",349.6,"[518, 444, 229, 291, 266]",0.9616835886369796,"[0.9619201627765374, 0.9649967818589185, 0.9511818266691481, 0.9589989270634972, 0.9713202448167969]",0.023971006,"[0.023736127, 0.024067214, 0.025985299, 0.022600573, 0.023465816]"
"(1, 12, 'tanh')",519.6,"[481, 999, 572, 335, 211]",0.9523020556024722,"[0.9232289550346305, 0.9751334853820369, 0.9539627952904494, 0.9543102757945264, 0.9548747665107182]",0.026502863,"[0.03370242, 0.020285198, 0.025234308, 0.023857836, 0.029434567]"
