hyper,ave_epoch,epoch,ave_indicator,indicator,ave_score,socre
"(1, 8, 'elu')",647.0,"[817, 783, 35, 844, 756]",0.9113457642295035,"[0.9639771389389928, 0.9693062566929669, 0.7243550974932096, 0.9820076149163741, 0.9170827131059737]",1634.5481,"[1003.60236, 830.57294, 3943.404, 771.3473, 1623.8138]"
"(1, 8, 'sigmoid')",1249.6,"[2729, 1677, 445, 686, 711]",0.9486691185236058,"[0.9714446800027964, 0.9777325426549913, 0.9133678834138892, 0.9742946644301064, 0.9065058221162461]",1291.5912,"[893.54425, 707.4376, 2210.73, 921.971, 1724.273]"
"(1, 8, 'softplus')",797.2,"[2031, 59, 35, 1828, 33]",0.7902951704476363,"[0.9661057205410534, 0.6963390933107716, 0.7325230925670867, 0.9854148169607106, 0.5710931288585591]",2371.6204,"[973.49963, 2612.4458, 3884.5386, 694.48285, 3693.135]"
"(1, 8, 'tanh')",706.2,"[694, 725, 421, 890, 801]",0.9652831155099936,"[0.9671755061885915, 0.9771845096391732, 0.9527155304893825, 0.9823967797146278, 0.946943251518193]",1073.8499,"[958.0134, 716.0902, 1633.2607, 762.95984, 1298.9248]"
"(1, 9, 'elu')",1690.2,"[731, 733, 527, 5299, 1161]",0.9643053370433531,"[0.9660580342899376, 0.974149911496244, 0.9549190050501916, 0.9824151303295884, 0.9439846040508035]",1085.6748,"[974.1842, 762.2262, 1594.7515, 762.562, 1334.65]"
"(1, 9, 'sigmoid')",2448.6,"[2400, 2354, 4410, 2107, 972]",0.9612405505823164,"[0.9759648750705225, 0.9846226069347876, 0.9258589052540314, 0.9854372011653406, 0.9343191644868997]",1118.3967,"[819.77704, 587.88745, 2045.1528, 693.94977, 1445.2169]"
"(1, 9, 'softplus')",737.0,"[1324, 1687, 239, 359, 76]",0.9094760527562353,"[0.9627789312912316, 0.9787131128496932, 0.9633390342756578, 0.9766188249868114, 0.6659303603777822]",1457.7272,"[1020.157, 691.6859, 1438.1302, 879.30347, 3259.359]"
"(1, 9, 'tanh')",570.6,"[831, 397, 798, 722, 105]",0.9449056046479068,"[0.9839840264967973, 0.9746258694722671, 0.9471540287750065, 0.9872203150631892, 0.8315437834322738]",1223.1173,"[669.1897, 755.17645, 1726.6417, 650.0783, 2314.5002]"
"(1, 10, 'elu')",733.6,"[800, 699, 336, 914, 919]",0.9666241716838713,"[0.964611064502683, 0.9816678348799114, 0.9600076860370244, 0.9864909939064515, 0.9403432790932856]",1036.8779,"[994.7325, 641.88873, 1502.0505, 668.37054, 1377.347]"
"(1, 10, 'sigmoid')",2570.6,"[10000, 1230, 338, 688, 597]",0.9591536852429382,"[0.9770682580746696, 0.9818539057327416, 0.935681463356717, 0.9760042492922159, 0.9251605497583473]",1155.5408,"[800.7392, 638.6228, 1904.8657, 890.78467, 1542.6912]"
"(1, 10, 'softplus')",929.0,"[2405, 645, 270, 1286, 39]",0.8865924760386144,"[0.9763910588891325, 0.9816007943018281, 0.9642717357792889, 0.9876053438334267, 0.5230934473893947]",1481.9551,"[812.47656, 643.0613, 1419.7185, 640.2106, 3894.3083]"
"(1, 10, 'tanh')",586.2,"[1022, 688, 526, 548, 147]",0.9548777717734982,"[0.9827210441717708, 0.9801658426117087, 0.9433727139471081, 0.9853783490870917, 0.8827509090498122]",1155.2756,"[695.0744, 667.6667, 1787.348, 695.3506, 1930.9385]"
"(1, 11, 'elu')",612.4,"[523, 625, 203, 838, 873]",0.9659367875511133,"[0.9648409947681886, 0.9852332762700915, 0.9457961256897224, 0.9845062218319532, 0.9493073191956107]",1060.3441,"[991.4958, 576.09607, 1748.6844, 715.7878, 1269.6567]"
"(1, 11, 'sigmoid')",1115.0,"[1997, 1554, 457, 818, 749]",0.9652189604618142,"[0.9781878756464926, 0.9828857774506365, 0.94490587771001, 0.9812467852687777, 0.9388684862331542]",1069.1775,"[780.94696, 620.1995, 1762.9862, 787.4871, 1394.268]"
"(1, 11, 'softplus')",2267.6,"[1973, 866, 178, 7401, 920]",0.9689395495018159,"[0.9753062706737834, 0.9827011376196844, 0.9566562269798246, 0.9901093207764192, 0.9399247914593679]",994.4518,"[830.93286, 623.53613, 1563.7223, 571.8981, 1382.1697]"
"(1, 11, 'tanh')",395.4,"[583, 404, 385, 464, 141]",0.960285282674891,"[0.9781539480887561, 0.9756298755918968, 0.9631626394605719, 0.9881363721647282, 0.8963435780685011]",1081.0272,"[781.55414, 740.0852, 1441.5859, 626.34607, 1815.5651]"
"(1, 12, 'elu')",373.0,"[524, 586, 161, 313, 281]",0.9454089372042253,"[0.9659639529737105, 0.9813165031195207, 0.9465339246237845, 0.9743437795389169, 0.858886525765193]",1279.9454,"[975.5333, 648.0103, 1736.7426, 921.0898, 2118.351]"
"(1, 12, 'sigmoid')",1388.8,"[2063, 1425, 454, 1825, 1177]",0.9705838312550126,"[0.9832300722534766, 0.983457798427303, 0.9455479200686846, 0.9894994823554357, 0.9511838831701632]",976.47815,"[684.7597, 609.74677, 1752.6837, 589.26544, 1245.9348]"
"(1, 12, 'softplus')",769.8,"[1904, 954, 185, 737, 69]",0.9190389613784642,"[0.9769232784234864, 0.984528967116257, 0.9660769269899837, 0.9861810765182354, 0.6814845578443585]",1326.9799,"[803.2665, 589.6747, 1383.3876, 675.9938, 3182.5771]"
"(1, 12, 'tanh')",556.0,"[851, 789, 450, 567, 123]",0.9606550021323439,"[0.9841688896400084, 0.9822740800508367, 0.9507030128392713, 0.9867002611160122, 0.899428767015591]",1083.1348,"[665.31647, 631.1858, 1667.656, 663.1735, 1788.342]"
"(1, 13, 'elu')",404.0,"[603, 445, 186, 544, 242]",0.9419010617659265,"[0.9630114010818696, 0.9697979670113708, 0.9381371066826576, 0.9823020298645673, 0.8562568041891674]",1322.4032,"[1016.9662, 823.89325, 1868.1484, 765.0104, 2137.998]"
"(1, 13, 'sigmoid')",1087.4,"[1817, 1520, 405, 1581, 114]",0.9380034661811216,"[0.9794713530866846, 0.9805231757886973, 0.9364351525682585, 0.9892967562926608, 0.8042908931693069]",1280.5101,"[757.62225, 661.62506, 1893.6721, 594.9265, 2494.705]"
"(1, 13, 'softplus')",1029.8,"[3468, 1121, 30, 471, 59]",0.8362777371401743,"[0.979127360476207, 0.983278117914652, 0.6015860473320565, 0.9794472142847217, 0.6379499456932337]",2067.088,"[763.94354, 613.0493, 4740.93, 824.40564, 3393.1106]"
"(1, 13, 'tanh')",465.4,"[626, 669, 488, 421, 123]",0.9539352850842622,"[0.9758621719771824, 0.9802246695761259, 0.9737396030578414, 0.9877130999713278, 0.8521368808388332]",1102.2406,"[821.5267, 666.6759, 1217.158, 637.4216, 2168.4211]"
"(1, 14, 'elu')",2170.4,"[564, 9031, 772, 390, 95]",0.9389686286592489,"[0.9671793028014462, 0.9863942967940998, 0.958675711621118, 0.9822238796662333, 0.8003699524133474]",1264.8142,"[957.958, 552.985, 1526.8591, 766.69763, 2519.5713]"
"(1, 14, 'sigmoid')",1262.8,"[2004, 1738, 475, 1135, 962]",0.9681607939112873,"[0.9840552164262911, 0.9878136753121962, 0.9473640742967632, 0.985347828019516, 0.9362231755016699]",1006.88904,"[667.7008, 523.3464, 1723.2069, 696.0759, 1424.1152]"
"(1, 14, 'softplus')",711.8,"[1001, 958, 521, 1022, 57]",0.9280914349069767,"[0.9709653006013336, 0.9839606496902289, 0.9569926179030454, 0.9863690504778221, 0.7421695558624529]",1318.7672,"[901.01337, 600.40765, 1557.6423, 671.3804, 2863.392]"
"(1, 14, 'tanh')",1943.8,"[588, 828, 356, 7578, 369]",0.9662329744061854,"[0.9751889223034226, 0.9849708762636725, 0.9467522372193936, 0.9872353639503579, 0.9370174722940798]",1042.4409,"[832.90485, 581.1921, 1733.1931, 649.69543, 1415.2192]"
"(1, 15, 'elu')",619.8,"[534, 839, 486, 817, 423]",0.9587091119806764,"[0.9688939851184684, 0.9843151756007321, 0.9439840460549092, 0.9880194565983772, 0.9083328965308954]",1128.1549,"[932.59863, 593.735, 1777.6741, 629.42487, 1707.3417]"
"(1, 15, 'sigmoid')",1087.4,"[1964, 1371, 512, 1114, 476]",0.971623050486792,"[0.9837718856004193, 0.9866665659002335, 0.9578366034935828, 0.9884230175497085, 0.9414171798900154]",949.38806,"[673.607, 547.424, 1542.2831, 618.73303, 1364.8937]"
"(1, 15, 'softplus')",560.6,"[1124, 603, 205, 820, 51]",0.9023303939818401,"[0.975918471402507, 0.9818870945418797, 0.9454699863858759, 0.9863643152352368, 0.6220121023437015]",1470.2063,"[820.568, 638.0386, 1753.9374, 671.497, 3466.9902]"
"(1, 15, 'tanh')",726.2,"[921, 914, 679, 698, 419]",0.9733815238925579,"[0.9773377741634676, 0.9839133796850167, 0.9545388754260568, 0.9914749178935649, 0.9596426722946837]",932.5161,"[796.0198, 601.29175, 1601.4609, 530.95154, 1132.8566]"
