Solvent_Index alias Run_Index NStage_T1 RR_T1 TopPres_T1 StoF_T1 NStage_T1 RR_T1 TopPres_T2 DIST_C4H8_T1 DIST_C4H6_T1 RebDuty_T1 DIST_C4H6_T2 DIST_SOL_T2 RebDuty_T2 hasIssue hasERROR CAPEX OPEX TAC TimeCost 
0 C4H10N2 0 77 9.76573222906997 3.5032524895949195 1.7403954893591047 13 1.0048699730336275 3.5186049741557737 0.891918257 0.108073496 19701.9254 0.891844735 0.999975822 7270.64942 False False 6935881.6 6199999.63 8989020.3 4.1658525466918945 
0 C4H10N2 1 56 9.817129690513775 3.5066048307817503 2.0363467053238606 9 1.271543973732856 3.527286722935695 0.881912253 0.118078439 20726.045 0.880630584 0.9996671 8329.73335 False False 6244518.06 6585313.36 9096326.52 2.4328606128692627 
0 C4H10N2 2 50 9.393615510538858 3.5044871957148067 2.285253527315363 9 1.391335624417817 3.5268635520982876 0.8817924 0.118196941 21103.6499 0.880294413 0.999653221 8859.66906 False False 6082874.15 6667404.43 9113418.18 2.4135947227478027 
0 C4H10N2 3 53 9.897792707408644 3.5046819344610003 2.086811787530582 8 1.3531545668326872 3.5048287340971793 0.880145484 0.11984511 21006.0397 0.87877935 0.999653921 8522.70393 False False 6150629.17 6686754.95 9160013.99 2.391242504119873 
0 C4H10N2 4 55 9.968031768498065 3.503606068589157 2.022141274319805 9 1.3212104343406608 3.5024259204084958 0.880640067 0.119350833 20861.7094 0.879491387 0.999699186 8370.10065 False False 6240752.97 6647354.99 9156854.15 2.4074459075927734 
0 C4H10N2 5 66 9.896114537666243 3.5007695152070704 1.84288478329087 10 1.1124330435796819 3.5089598142731147 0.886168283 0.113823219 20166.2578 0.885852628 0.999908711 7667.73066 False False 6538868.22 6375290.9 9004666.61 2.4485549926757812 
0 C4H10N2 6 65 9.994562027033238 3.502794325975593 1.8253802432382717 9 1.181430781517953 3.5277646216036103 0.884839252 0.115152393 20224.0821 0.883733954 0.999680318 7830.40951 False False 6499117.49 6451912.21 9065303.57 2.395634651184082 
0 C4H10N2 7 69 9.994562027033238 3.502794325975593 1.775629187100224 8 1.1523764538555663 3.512019357517868 0.8867036 0.113288225 20070.8504 0.885505863 0.999644988 7667.35286 False False 6585191.13 6400650.83 9048653.67 2.3848936557769775 
0 C4H10N2 8 65 9.995998868512492 3.5027854280876367 1.827978694303134 10 1.1124330435796819 3.5089598142731147 0.885026366 0.114965269 20236.3779 0.884720421 0.999910723 7656.66853 False False 6513430.14 6401437.52 9020584.2 2.408900022506714 
0 C4H10N2 9 73 9.898713755789782 3.5047388036842824 1.7447727933249906 12 1.01452266918725 3.5206564668376354 0.888719215 0.111272635 19859.6566 0.888648394 0.999976685 7325.7964 False False 6789596.47 6256747.6 8986944.85 2.389725685119629 
0 C4H10N2 10 73 9.90632892779261 3.504845924778879 1.7447727933249906 8 1.134041298812338 3.506144518303091 0.888761153 0.111230702 19870.3196 0.887580631 0.999644256 7551.09283 False False 6693571.47 6334650.47 9026234.65 2.4318840503692627 
0 C4H10N2 11 49 9.640918245666972 3.509903307107134 2.252955258962059 9 1.3726778529246602 3.5166059529653824 0.879447887 0.120541814 21296.5631 0.877997603 0.999659095 8797.44493 False False 6069850.43 6725146.06 9165922.77 2.3971807956695557 
0 C4H10N2 12 62 9.921690361558317 3.5020673532207662 1.9027962604757733 8 1.2557714506988185 3.5006444011596254 0.88436616 0.115625139 20396.9308 0.883140209 0.999660289 8048.06543 False False 6391564.92 6512958.65 9083101.52 2.3972442150115967 
0 C4H10N2 13 45 9.96542368525424 3.502843774553778 2.287576219478569 8 1.4489735155121515 3.5064576976757347 0.871572652 0.128417325 21824.2104 0.870048925 0.999646334 9002.18579 False False 5967350.48 6906568.75 9306128.71 2.4712514877319336 
0 C4H10N2 14 48 9.80089648895407 3.5045504091048802 2.2448983063454993 8 1.4424598727984128 3.504682879665971 0.875934636 0.124055305 21462.9886 0.874457832 0.999651386 8896.49445 False False 6034372.63 6808615.67 9235126.24 2.3897690773010254 
0 C4H10N2 15 59 9.965371447416674 3.5032728108020903 1.936768309091466 9 1.3719518358418652 3.5156890617647445 0.882719496 0.117271712 20560.4964 0.881735652 0.999731017 8293.25773 False False 6359878.98 6602680.85 9160082.34 2.3969175815582275 
0 C4H10N2 16 65 9.994562027033238 3.502608917161686 1.8253802432382717 8 1.181430781517953 3.5277646216036103 0.884840825 0.11515082 20223.9677 0.883599228 0.999641657 7832.59498 False False 6463601.03 6453832.34 9052942.0 2.446455240249634 
0 C4H10N2 17 59 9.971901699429834 3.5034614959912993 1.936768309091466 8 1.3792943267517184 3.505466894391173 0.882741642 0.117249571 20569.6452 0.881632391 0.99969736 8297.09392 False False 6326527.42 6608993.67 9152984.0 2.3982961177825928 
0 C4H10N2 18 41 9.78799837778973 3.5013454139436773 2.464973296002258 8 1.5649093203228042 3.504682879665971 0.867501418 0.132487774 22277.0997 0.865870608 0.999647965 9407.71701 False False 5886971.61 7023310.95 9390549.38 2.4132368564605713 
0 C4H10N2 19 52 9.98022399312259 3.503662211096604 2.0863390773752597 8 1.345514878356667 3.5154823070780568 0.877172805 0.122817887 21101.8126 0.875792963 0.999649925 8539.1287 False False 6125340.3 6716292.64 9179382.65 2.414355754852295 
0 C4H10N2 20 55 9.968031768498065 3.503424740432272 2.022141274319805 8 1.3212104343406608 3.502658319846043 0.880641645 0.119349256 20861.5705 0.879334952 0.999658548 8373.92336 False False 6203608.9 6649883.98 9144446.96 2.4171817302703857 
0 C4H10N2 21 74 9.872280551929919 3.502465931059948 1.7450327718748393 12 1.011833933645113 3.5006240549332657 0.888959614 0.111032225 19831.5358 0.888889783 0.999976981 7299.57856 False False 6822591.83 6243599.29 8987064.47 2.384166955947876 
0 C4H10N2 22 63 9.818757410124407 3.5023986369945543 1.9029089933086807 9 1.175595417005951 3.508883644592176 0.886404647 0.113586551 20267.34 0.885179907 0.999660577 7933.19219 False False 6425251.37 6441329.3 9025017.99 2.433380365371704 
