,Index,Alias,Sol_prop,Pro_var,f_all_DIST_C4H8_T1,f_all_RebDuty_T1,f_all_DIST_C4H6_T2,f_all_RebDuty_T2,f_ave_DIST_C4H8_T1,f_ave_RebDuty_T1,f_ave_DIST_C4H6_T2,f_ave_RebDuty_T2,f_std_DIST_C4H8_T1,f_std_RebDuty_T1,f_std_DIST_C4H6_T2,f_std_RebDuty_T2,DIST_C4H8_T1,DIST_C4H6_T1,RebDuty_T1,DIST_C4H6_T2,DIST_SOL_T2,RebDuty_T2,hasIssue,hasERROR,CAPEX,OPEX,TAC,RebDuty_total
0,0,C5H8O2-D1,"[1.47337951e+00 2.01163634e+00 1.00117320e+02 9.69155972e+02
 1.63250625e+02 7.65843576e-01]","[49 9.92179379786126 3.7621927123693912 2.4060017888185747 16
 1.9903350883439965 3.5122535320115578]",[0.92021769 0.92531788 0.91454679 0.92223334 0.93111438],"[19433.16992188 20894.49804688 20520.30078125 22022.34765625
 24260.79882812]",[0.99069452 0.99300188 0.9926399  0.9900254  0.99387896],"[10138.71191406  9094.50585938  9646.609375    9323.46191406
  6781.1328125 ]",0.922686017,21426.22305,0.992048132,8996.884375,0.005486502,1641.089382,0.001451582,1162.037051,0.98089591,0.01863557,19755.4895,0.98089617,0.999902635,10816.3025,FALSE,FALSE,6144390.79,6986633.24,9457383.73,30571.792
1,0,C4H7NO-E2,"[1.47646357e+00 2.62126273e+00 8.51057200e+01 9.36474793e+02
 1.50766005e+02 6.81518567e-01]","[49 9.92179379786126 3.7621927123693912 2.4060017888185747 16
 1.9903350883439965 3.5122535320115578]",[0.9138419  0.92805487 0.92256546 0.9152078  0.93392515],"[20928.63476562 21977.48828125 21100.08984375 21784.73242188
 24762.921875  ]",[0.99405932 0.99515885 0.99465162 0.99371463 0.99683291],"[10679.1484375  10532.48535156 10495.0546875  10866.80761719
  7959.71679688]",0.922719038,22110.77344,0.994883466,10106.64258,0.007606495,1383.971978,0.001093188,1081.398187,0.943718736,0.056261915,19442.1133,0.943718797,0.999995979,11655.1932,FALSE,FALSE,6387080.13,7081981.34,9650320.81,31097.3065
2,0,C6H12O3-E2,"[  1.37466924   2.46819859 132.15948    964.474817   229.388118
   1.05677651]","[49 9.92179379786126 3.7621927123693912 2.4060017888185747 16
 1.9903350883439965 3.5122535320115578]",[0.92255116 0.93139279 0.91589898 0.93152231 0.92874295],"[24563.33007812 26178.91796875 24502.2734375  26173.95507812
 27058.32617188]",[0.99325186 0.99710113 0.99677062 0.99508458 0.99615061],"[11733.296875   10386.76464844 10595.23925781 10163.68847656
  9040.53222656]",0.926021636,25695.36055,0.995671761,10383.9043,0.006017053,1002.547319,0.001391444,862.4006614,0.898935233,0.101047929,24751.8454,0.898935584,0.999996501,10533.4703,FALSE,FALSE,6974421.78,7595084.72,10399603,35285.3157
3,0,C4H9NO-D0,"[1.37054272e+00 2.80490191e+00 8.71216000e+01 9.37304485e+02
 1.54843778e+02 9.12649246e-01]","[49 9.92179379786126 3.7621927123693912 2.4060017888185747 16
 1.9903350883439965 3.5122535320115578]",[0.88146323 0.88682461 0.89033198 0.88194227 0.90038705],"[21401.00195312 21935.88867188 21171.421875   22524.00195312
 24671.68945312]",[0.99378419 0.99680471 0.99614644 0.99590647 0.99746192],"[ 9781.10742188 10094.18261719 10146.25097656 10182.78222656
  8403.19042969]",0.888189828,22340.80078,0.996020746,9721.502734,0.006921039,1255.486149,0.001242789,674.326358,0.9284091,0.07158124,20589.7098,0.928409172,0.999997992,11559.3984,FALSE,FALSE,6581874.6,7216902.83,9863572.04,32149.1082
4,0,C4H10N2,"[  1.41711743   2.63700108  86.13688    714.711034   184.545914
   0.96662699]","[49 9.92179379786126 3.7621927123693912 2.4060017888185747 16
 1.9903350883439965 3.5122535320115578]",[0.97170591 0.97156829 0.98078972 0.96250033 0.96263731],"[26069.59179688 22205.42382812 25094.08398438 20593.75585938
 24956.00390625]",[0.98555601 0.99351066 0.99198478 0.99031675 0.99573058],[8537.58789062 7562.15136719 6711.46289062 7761.95800781 8950.77050781],0.969840312,23783.77188,0.991419756,7904.786133,0.006813435,2048.580153,0.003431458,781.8363248,0.885395866,0.114591862,22622.0052,0.885396089,0.99999745,9364.4883,FALSE,FALSE,6583200.43,7126542.24,9773744.59,31986.4935
5,1,C4H6O2-N1,"[1.55722735e+00 1.26968514e+00 8.60904400e+01 9.79078611e+02
 1.60859221e+02 7.51024251e-01]","[69 9.72792135536288 3.5346383607395486 2.439315023885187 18
 1.9696185516942921 3.610592823613931]",[0.95277596 0.95738953 0.94740796 0.95993334 0.96114516],"[17549.14453125 18791.78320312 18790.9140625  18831.36914062
 20218.19726562]",[0.98710877 0.98926204 0.98895699 0.98432112 0.98614579],[8607.93359375 6403.73974609 7627.67089844 6365.37060547 4480.77441406],0.955730391,18836.28164,0.987158942,6697.097852,0.005054282,845.041442,0.001829658,1387.476195,0.985399251,0.001421235,18126.986,0.985333362,0.997284647,7869.26475,FALSE,FALSE,6836787.31,6024281.64,8773455.02,25996.25075
6,1,C5H8O2-D1,"[1.47337951e+00 2.01163634e+00 1.00117320e+02 9.69155972e+02
 1.63250625e+02 7.65843576e-01]","[69 9.72792135536288 3.5346383607395486 2.439315023885187 18
 1.9696185516942921 3.610592823613931]",[0.93991393 0.94816768 0.93459398 0.93871588 0.94663918],"[19308.828125   20653.578125   20412.80664062 21537.40820312
 24072.94140625]",[0.99042624 0.99280494 0.992755   0.99043161 0.99410713],"[10176.12988281  9130.9609375   9675.34960938  9326.95019531
  6739.50634766]",0.941606128,21197.1125,0.992104983,9009.779395,0.005074899,1603.893777,0.001451854,1189.351013,0.995711149,0.003858269,19665.5874,0.995711185,0.999911741,10971.1404,FALSE,FALSE,7092118.41,6971468.2,9823314,30636.7278
7,1,C5H8O3-D2,"[   1.49938283    3.05229389  116.11672    1071.2011      204.390902
    1.56011254]","[69 9.72792135536288 3.5346383607395486 2.439315023885187 18
 1.9696185516942921 3.610592823613931]",[0.95777202 0.96244055 0.96015882 0.96761954 0.96844381],"[24111.         24169.26953125 23869.64453125 25597.42578125
 26185.30859375]",[0.99398792 0.99796093 0.99738842 0.99649161 0.99799639],"[13109.53710938 11992.43457031 12399.60546875 11141.57324219
 10202.48046875]",0.963286948,24786.52969,0.996765053,11769.12617,0.004154048,926.5164599,0.001491452,1009.185187,0.992214667,0.007781068,22296.994,0.992214668,0.999999126,13250.2498,FALSE,FALSE,8055291.38,7685551.86,10924703.8,35547.2438
8,1,C4H6O3,"[1.70123065e+00 2.34424667e+00 1.02089840e+02 1.07407895e+03
 1.60937477e+02 8.42570370e-01]","[69 9.72792135536288 3.5346383607395486 2.439315023885187 18
 1.9696185516942921 3.610592823613931]",[0.97271842 0.97924453 0.95835578 0.96843171 0.97816479],"[18753.734375   19819.1171875  20306.8671875  21305.34375
 23747.54882812]",[0.99081182 0.99345291 0.9926461  0.99129057 0.99558145],"[15609.77636719 12519.00292969 12920.54199219 13184.21191406
  7393.34375   ]",0.971383047,20786.52227,0.992756569,12325.37539,0.007589442,1693.223094,0.00169754,2692.268224,0.997927613,0.001881483,18985.7743,0.997927616,0.999960869,11161.2517,FALSE,FALSE,6928534.34,6913014.8,9699081.02,30147.026
9,1,C4H7NO-E2,"[1.47646357e+00 2.62126273e+00 8.51057200e+01 9.36474793e+02
 1.50766005e+02 6.81518567e-01]","[69 9.72792135536288 3.5346383607395486 2.439315023885187 18
 1.9696185516942921 3.610592823613931]",[0.93694621 0.95149571 0.94257361 0.93257737 0.94825363],"[20810.86914062 21805.29101562 21025.4453125  21523.75585938
 24704.6328125 ]",[0.99381256 0.99509573 0.99475348 0.99392962 0.99683666],"[10772.234375   10650.01171875 10618.57910156 10880.93066406
  7894.76660156]",0.942369306,21973.99883,0.994885612,10163.30449,0.006974957,1409.976415,0.001089363,1138.086638,0.975957694,0.024024908,19366.1838,0.975957711,0.999996434,11787.0553,FALSE,FALSE,7342578.65,7064462.22,10017021.8,31153.2391
