,NStage_T1,RR_T1,TopPres_T1,StoF,NStage_T2,RR_T2,TopPres_T2,opt_N_total,opt_RebDuty_total,f_all_DIST_C4H8_T1,f_all_RebDuty_T1,f_all_DIST_C4H6_T2,f_all_RebDuty_T2,f_ave_DIST_C4H8_T1,f_ave_RebDuty_T1,f_ave_DIST_C4H6_T2,f_ave_RebDuty_T2,f_std_DIST_C4H8_T1,f_std_RebDuty_T1,f_std_DIST_C4H6_T2,f_std_RebDuty_T2,DIST_C4H8_T1,DIST_C4H6_T1,RebDuty_T1,DIST_C4H6_T2,DIST_SOL_T2,RebDuty_T2,hasIssue,hasERROR,CAPEX,OPEX,TAC,RebDuty_total
0,62,9.841747907561595,3.510152537337618,2.2728784104895436,17,1.2947843590274744,3.5085443376580847,79.0,28685.536767923237,[0.92762363 0.93580776 0.92197692 0.92803866 0.93722928],"[18687.52929688 20161.31054688 19723.02929688 21012.62695312
 23409.5703125 ]",[0.98575217 0.98784697 0.98770547 0.98585552 0.98555714],[8934.68457031 8150.53710938 8776.53710938 8456.25488281 6115.61035156],0.9301352500915527,20598.81328125,0.9865434527397156,8086.7248046875,0.005652695754007494,1592.671312139056,0.0010120912312805617,1021.8408345729733,0.991115747,0.00846157033,19250.5109,0.991115864,0.999907016,9705.96052,False,False,6582105.57,6605145.03,9251907.11,28956.47142
1,57,9.318399808446763,3.5642044148311096,2.5229028118059498,9,1.6181954816896744,3.506525814434894,66.0,29946.527315745887,[0.92770672 0.93466479 0.92306787 0.92837775 0.93670118],"[18937.72265625 20501.7734375  20178.66210938 21396.48828125
 23875.125     ]",[0.98675078 0.98804468 0.98760206 0.98467153 0.98174572],[9941.93847656 9078.55859375 9616.67675781 9253.1875     6952.51025391],0.9301036596298218,20977.954296875,0.9857629537582397,8968.57431640625,0.004950910932574618,1649.0561020392026,0.0023192125829955197,1051.1983706680319,0.990737209,0.00882709941,19225.4894,0.990722807,0.99991067,10518.1097,False,False,6076138.49,6694280.41,9137585.65,29743.5991
2,79,9.292029196148588,3.5010366766441505,2.1312780347093367,8,1.3818552896693623,3.5039729083894704,87.0,27743.625431939116,[0.93170536 0.93978035 0.92061144 0.92651349 0.936185  ],"[17680.93554688 18941.94921875 18690.32226562 19530.2265625
 22063.63671875]",[0.98684847 0.98773801 0.98703116 0.98421407 0.97925603],[9207.05273438 8432.61523438 8964.9375     8553.23535156 6653.20703125],0.9309591293334961,19381.4140625,0.9850175499916076,8362.2095703125,0.006819368718543676,1468.2525627806265,0.003119246250202919,898.7967973068041,0.996461199,0.00311283907,18264.9175,0.996272415,0.9998557,9304.25083,False,False,6678331.14,6324025.43,9009481.25,27569.16833
3,51,9.373374897059485,3.501212891667298,2.6667829205409803,8,1.766714744179031,3.52198063902466,59.0,30852.14318360729,[0.92789459 0.93340254 0.92373985 0.92895186 0.93647397],"[19415.2265625  21153.66210938 20680.375      22016.83203125
 24469.56835938]",[0.98699224 0.98728776 0.98780406 0.98440385 0.98106372],"[10301.45507812  9437.22558594  9934.63671875  9620.67773438
  7231.04882812]",0.9300925612449646,21547.1328125,0.9855103254318237,9305.0087890625,0.004430969912695496,1685.963192971274,0.0025144820089434273,1077.7545751061753,0.987252778,0.0123262089,19596.2808,0.98705086,0.999882969,11129.2188,False,False,5908541.37,6885761.35,9261673.3,30725.499600000003
4,48,9.988166503473433,3.5270848357546103,2.605973636253681,8,1.9188234875979666,3.5002378031628076,56.00000000000001,31494.023692412455,[0.92764556 0.93265516 0.9231934  0.92964178 0.93718135],"[19994.53710938 21714.0078125  21130.46484375 22648.50976562
 25027.13085938]",[0.98870254 0.98878026 0.98949122 0.98546511 0.98470289],"[10424.3828125   9512.44921875  9974.2421875   9699.63769531
  7344.75244141]",0.9300634503364563,22102.930078125,0.9874284029006958,9391.09287109375,0.004703256710695612,1696.5186397983991,0.0019488013093560967,1068.1935830249754,0.982602846,0.0169762372,20244.5243,0.982428768,0.999885526,11230.6658,False,False,5922123.8,7132224.28,9513597.93,31475.1901
5,49,9.610575563042648,3.5055161375966315,2.667060929750562,9,1.7333621843079425,3.504425433074406,57.99999999999999,31064.493047464985,[0.92788631 0.93293154 0.92362696 0.92928445 0.93668854],"[19714.45117188 21464.66796875 20935.74414062 22354.56640625
 24784.16601562]",[0.98687369 0.98798466 0.98787552 0.9847436  0.98240489],"[10212.80957031  9341.88671875  9869.33886719  9536.421875
  7108.40917969]",0.9300835609436036,21850.719140625,0.9859764695167541,9213.7732421875,0.0044472683557816904,1697.5764034507176,0.002131684284702527,1093.7013223357035,0.985112331,0.0144680348,19900.6504,0.985098547,0.999918556,11096.6511,False,False,5922371.59,6958489.58,9339962.87,30997.301499999998
6,56,9.33930795278778,3.5228876729970207,2.548111293209492,8,1.658335445220461,3.5135931033372376,64.0,30143.910759156635,[0.92795157 0.93473518 0.92349905 0.92871028 0.93685675],"[18995.359375   20624.11328125 20242.45117188 21488.47851562
 23963.70703125]",[0.98678082 0.98726404 0.9874391  0.98428613 0.98021245],"[10056.12402344  9199.49316406  9708.61816406  9364.27539062
  7076.93652344]",0.9303505659103394,21062.821875,0.9851965069770813,9081.089453125,0.004836201258256216,1657.4795790682856,0.002738012132744602,1044.5407963207444,0.989999408,0.00957387384,19282.4266,0.989798492,0.999876648,10675.3343,False,False,6028424.83,6741960.14,9166079.01,29957.7609
7,62,9.841653687140935,3.5073138170655844,2.2737555518867167,12,1.2997062696248882,3.507774011530139,74.0,28858.662107262222,[0.92766064 0.93584609 0.92202193 0.92807281 0.93725502],"[18687.1796875  20164.03515625 19723.20117188 21012.76171875
 23410.73828125]",[0.9853071  0.98842049 0.98653316 0.98447567 0.98230356],[9127.31542969 8332.70605469 8940.78808594 8532.60449219 6361.97998047],0.9301712989807129,20599.583203125,0.9854079961776734,8259.07880859375,0.005648039697752249,1593.006222928926,0.002042451286539755,989.7255784964694,0.991114178,0.00846371066,19251.0504,0.991113894,0.999907057,9665.25614,False,False,6390070.39,6599708.64,9169250.54,28916.306539999998
8,80,9.83926243597362,3.506961412293141,1.950440198757011,19,1.2164057260142516,3.500996637580144,99.0,26880.871974340604,[0.93097079 0.93919605 0.91905969 0.9255721  0.93575358],"[17793.234375   18936.87109375 18550.2890625  19574.40820312
 21920.56835938]",[0.98693836 0.98787212 0.98891371 0.98632938 0.98647994],[8252.53710938 7561.83642578 8131.62597656 7894.05712891 5788.92724609],0.9301104426383973,19355.07421875,0.9873067021369935,7525.79677734375,0.007181213402922637,1406.5407410585835,0.0009671166756560732,899.8678614334387,0.995167971,0.0044066735,18547.1922,0.995168013,0.999890959,8801.1704,False,False,7166741.79,6350197.02,9232049.98,27348.3626
9,70,9.23223498980246,3.5205035679912178,2.2828392389892698,10,1.3753526313170354,3.5145125001194097,80.0,28331.115892415874,[0.92914218 0.93771386 0.92167503 0.92720127 0.93655252],"[18041.58007812 19421.53125    19181.5        20140.95898438
 22700.578125  ]",[0.9859367  0.98825151 0.98676169 0.98434293 0.98102826],[9324.54394531 8514.93261719 9089.1796875  8674.40136719 6566.37304688],0.9304569721221924,19897.2296875,0.9852642178535461,8433.8861328125,0.005987805078302744,1555.6451969502077,0.00246619820519619,977.2105421582472,0.994864153,0.00470679054,18527.9847,0.99485561,0.999904103,9675.01699,False,False,6468687.17,6404587.27,9005742.14,28203.00169
10,80,9.840189451667856,3.5004674210730733,1.950440198757011,11,1.2293387032673944,3.5104510883563376,91.0,27209.586406320414,[0.93098247 0.93920815 0.91906798 0.92557621 0.93574953],"[17787.33398438 18936.68359375 18544.33203125 19569.02539062
 21915.50390625]",[0.98678291 0.98935843 0.98756647 0.98501474 0.98318231],[8599.39355469 7908.45410156 8485.76074219 8071.79589844 6229.64501953],0.930116868019104,19350.57578125,0.9863809704780578,7859.00986328125,0.007180850795439078,1406.530281297682,0.0021227444060511517,853.6436139531876,0.995172828,0.00440313254,18545.6001,0.995172477,0.999891152,8762.53017,False,False,6884844.86,6346670.59,9115168.63,27308.13027
11,63,9.841896914935774,3.5110995604889754,2.2483772736865544,14,1.3270124181844614,3.50038539768096,77.0,28700.43004432274,[0.92757523 0.9358964  0.92169511 0.92779475 0.93709886],"[18613.01757812 20062.73046875 19633.10742188 20905.97265625
 23303.13476562]",[0.9861697  0.98906446 0.98772228 0.98572737 0.98532397],[9056.73730469 8260.40917969 8882.13574219 8511.203125   6273.70654297],0.9300120711326599,20503.592578125,0.986801552772522,8196.83837890625,0.005742374908630685,1582.7649114270464,0.0013931860736099515,1001.0355775270805,0.991694397,0.00788236153,19194.6069,0.991694526,0.999905871,9654.06913,False,False,6501559.16,6595681.48,9210054.66,28848.67603
12,60,9.328481639938467,3.5052266511362795,2.450191695616619,8,1.598272696638542,3.514723927328421,68.0,29576.578847019104,[0.92777014 0.93539602 0.92275977 0.92803174 0.93664837],"[18633.578125   20203.06445312 19850.96289062 21022.24023438
 23520.19921875]",[0.98688191 0.98746055 0.98743582 0.98436004 0.98016351],[9887.22265625 9035.70996094 9550.97167969 9189.0625     6989.88525391],0.9301212072372437,20646.008984375,0.9852603673934937,8930.57041015625,0.005186744080208124,1629.7665826473064,0.0027925367975017894,1014.318748375634,0.991749243,0.00782687825,19017.4883,0.991552525,0.999873192,10394.2107,False,False,6140763.77,6648776.29,9118068.31,29411.699
13,80,9.842636078591745,3.5014769080007424,1.950440198757011,20,1.1912226028054522,3.5018028330908426,100.0,26793.81522454684,[0.93101192 0.93923801 0.91910499 0.92560875 0.93577999],"[17791.6796875  18939.98632812 18548.11914062 19573.56445312
 21919.48046875]",[0.98653293 0.98698217 0.98859137 0.98575288 0.98553836],[8166.84130859 7478.49121094 8029.89794922 7810.70605469 5710.3046875 ],0.9301487326622009,19354.566015625,0.9866795420646668,7439.2482421875,0.0071783940862493135,1406.5271431154015,0.0010889596273492114,895.21231884482,0.995171922,0.00440384051,18549.4237,0.99517195,0.999891246,8779.55632,False,False,7198409.06,6343063.32,9237650.17,27328.98002
