,NStage_T1,RR_T1,TopPres_T1,StoF,NStage_T2,RR_T2,TopPres_T2,opt_N_total,opt_RebDuty_total,f_all_DIST_C4H8_T1,f_all_RebDuty_T1,f_all_DIST_C4H6_T2,f_all_RebDuty_T2,f_ave_DIST_C4H8_T1,f_ave_RebDuty_T1,f_ave_DIST_C4H6_T2,f_ave_RebDuty_T2,f_std_DIST_C4H8_T1,f_std_RebDuty_T1,f_std_DIST_C4H6_T2,f_std_RebDuty_T2,DIST_C4H8_T1,DIST_C4H6_T1,RebDuty_T1,DIST_C4H6_T2,DIST_SOL_T2,RebDuty_T2,hasIssue,hasERROR,CAPEX,OPEX,TAC,RebDuty_total
0,73,9.939660307365438,3.5005139038856825,2.996270774852907,9,1.188701124755522,3.500476465367702,82.0,34339.342798490296,[0.96231371 0.9721728  0.96667081 0.95701241 0.96687216],"[23626.45898438 24419.47851562 23907.59765625 24321.25976562
 27756.63867188]",[0.98562115 0.98731685 0.98514426 0.98567617 0.98135787],"[ 9588.98632812  9961.87988281  9872.32226562 10508.23925781
  7733.84033203]",0.9650083780288696,24806.28671875,0.9850232601165771,9533.05361328125,0.0050746999733015975,1502.6033337130987,0.0019745386773989777,947.6580743305304,0.989238865,0.0107434116,21380.0673,0.989082346,0.999970841,11491.2259,False,False,7333774.67,7173226.1,10122245.5,32871.2932
1,74,9.841572586356076,3.5014444191953196,3.0011831903656057,9,1.201279889196182,3.5005219243554464,83.0,34275.72039752281,[0.96256483 0.97233319 0.966685   0.9568156  0.96670294],"[23539.52148438 24325.12304688 23836.3515625  24228.33398438
 27662.43164062]",[0.98579562 0.98743731 0.98530394 0.98582304 0.9816606 ],"[ 9616.95605469  9987.4609375   9898.74804688 10532.67871094
  7750.98828125]",0.9650203108787536,24718.35234375,0.9852041006088257,9557.36640625,0.005146403343464066,1498.6605854478046,0.0019124078421660588,950.7165380618176,0.989484303,0.0104979052,21275.1783,0.989329238,0.999971122,11501.7328,False,False,7351743.61,7144950.47,10101195.4,32776.9111
2,80,9.586707320798634,3.501224796049004,2.9510019511530254,15,1.0619253139883027,3.5002031374317095,95.0,33481.550926457356,[0.96400982 0.9731583  0.96648425 0.95563394 0.96574712],"[23067.92773438 23853.74804688 23395.1953125  23708.32617188
 27117.79492188]",[0.98440391 0.98661846 0.98559302 0.98641032 0.98294157],"[ 9293.7578125   9727.63964844  9748.45410156 10209.06640625
  7285.84912109]",0.965006685256958,24228.5984375,0.9851934552192688,9252.95341796875,0.005621785813303451,1469.7189949720043,0.0013686072850054556,1025.296474644847,0.991763795,0.00821830472,20842.2749,0.991763809,0.999996967,11206.1989,False,False,7710531.6,6963418.15,10063937.1,32048.4738
3,80,9.586720335152664,3.50039694873179,2.9510014896436068,19,1.0837574804693284,3.500299706244215,99.0,33452.441259033294,[0.96401    0.97315842 0.96648395 0.95563358 0.9657461 ],"[23066.5859375  23853.51953125 23394.1328125  23707.40625
 27116.85546875]",[0.9847424  0.98510575 0.98634887 0.98673058 0.98268455],"[ 9268.2109375   9766.52636719  9806.53125    10170.66503906
  7111.77050781]",0.965006411075592,24227.7,0.9851224303245545,9224.7408203125,0.005621890949528289,1469.7588954861258,0.001426760343125894,1094.8349193454737,0.991765013,0.00821709623,20841.4882,0.99176502,0.999996969,11285.9079,False,False,7872647.96,6980595.14,10146303.4,32127.396099999998
4,80,9.586299308853953,3.500505170485896,2.9509928229611564,12,1.084068161863569,3.500135182816215,92.0,33530.919746759566,[0.96400684 0.97315562 0.96648061 0.95562977 0.96574324],"[23066.15625    23852.99023438 23393.75585938 23706.96484375
 27116.3828125 ]",[0.9846065  0.98742294 0.9851349  0.98585039 0.98239428],"[ 9354.98632812  9745.53222656  9716.14648438 10257.59667969
  7444.09179688]",0.9650032162666321,24227.25,0.9850818037986755,9303.670703125,0.0056222117316954544,1469.7419231272677,0.0016445781918401534,973.244023532856,0.991764228,0.00821787995,20840.9844,0.991764244,0.999996968,11202.3276,False,False,7593205.45,6966880.54,10020220.9,32043.312
5,80,9.586707320798634,3.5014643526212956,2.95100194781553,18,1.072740544229655,3.50113877437521,98.0,33463.05632687163,[0.96400982 0.9731583  0.96648437 0.95563394 0.96574748],"[23068.31445312 23853.81835938 23395.50976562 23708.59960938
 27118.0703125 ]",[0.98459607 0.98545945 0.98614371 0.98670238 0.98277086],"[ 9271.64355469  9755.77148438  9798.53222656 10188.16699219
  7156.86279297]",0.9650067806243896,24228.8625,0.9851344943046569,9234.19541015625,0.005621801501783218,1469.707584221115,0.0013754303736437368,1078.6373430242522,0.991764221,0.00821787571,20842.5056,0.991764228,0.999996967,11258.0525,False,False,7831153.59,6973972.24,10122995.0,32100.558100000002
6,73,9.939660307365438,3.5113023982541542,2.9979607655907548,11,1.126656818491941,3.5010976427876854,84.0,34234.167449018045,[0.96235853 0.97220683 0.96671683 0.9570657  0.96692222],"[23652.625      24429.671875   23930.04882812 24342.46679688
 27776.328125  ]",[0.98480278 0.98746222 0.98503268 0.98577881 0.98209506],"[ 9464.16699219  9848.49414062  9806.13476562 10367.5859375
  7553.31445312]",0.9650540232658387,24826.228125,0.9850343108177185,9407.9392578125,0.005069451425903046,1501.655987179518,0.0017402195127734295,971.2223989717625,0.989241576,0.0107405713,21395.804,0.989233455,0.999995659,11410.5485,False,False,7404799.59,7148204.82,10125784.4,32806.3525
7,80,9.587478538768357,3.501755834369539,2.9510020858094426,17,1.0627586839051735,3.5011099481212193,97.0,33465.965571175126,[0.96401525 0.97316307 0.96649039 0.95564067 0.96575302],"[23069.82226562 23854.86328125 23396.76367188 23709.88476562
 27119.42382812]",[0.98443365 0.98578787 0.98590159 0.98659331 0.98276353],"[ 9270.5         9739.56152344  9779.18554688 10193.39550781
  7196.42041016]",0.9650124788284302,24230.1515625,0.985095989704132,9235.81259765625,0.005621208596461483,1469.7151092855233,0.0013600527526423465,1060.783284399707,0.99176267,0.00821942396,20843.844,0.991762679,0.999996966,11231.6456,False,False,7789967.3,6968035.82,10100497.0,32075.4896
8,77,9.5843644923978,3.501577120608654,3.0082427331944577,8,1.2435152740850643,3.500173733597173,85.0,34109.100309143534,[0.96329999 0.97275275 0.9666326  0.95619273 0.96616381],"[23287.84570312 24061.51171875 23623.42773438 23954.4609375
 27380.47851562]",[0.98623395 0.98708761 0.98537004 0.98579502 0.98109186],"[ 9703.44238281 10075.00976562  9959.8671875  10636.74609375
  7862.70800781]",0.9650083780288696,24461.544921875,0.9851156949996949,9647.5546875,0.005377409199255007,1484.4085914337488,0.0020907596598996538,943.1391927121668,0.991325475,0.00865656235,20985.8675,0.991144977,0.99996694,11517.4828,False,False,7364701.11,7069189.81,10030645.1,32503.3503
9,80,9.58609082815451,3.5001539983626535,2.9510020916933177,10,1.129190462355146,3.5003590666617472,90.0,33623.35193946569,[0.96400571 0.97315454 0.96647918 0.95562816 0.96574157],"[23065.3515625  23852.66601562 23393.10742188 23706.3515625
 27115.74804688]",[0.98519206 0.98752952 0.98507786 0.98561698 0.98171437],"[ 9450.47949219  9823.56542969  9751.88085938 10359.28808594
  7598.32568359]",0.9650018334388732,24226.644921875,0.9850261569023132,9396.70791015625,0.005622358234313836,1469.7529928154022,0.0018769137306873598,945.7257294262663,0.991765402,0.00821670986,20840.4169,0.9917559,0.999995351,11243.035,False,False,7518144.96,6982241.7,10005399.1,32083.4519
