,NStage_T1,RR_T1,TopPres_T1,StoF,NStage_T2,RR_T2,TopPres_T2,opt_N_total,opt_RebDuty_total,f_all_DIST_C4H8_T1,f_all_RebDuty_T1,f_all_DIST_C4H6_T2,f_all_RebDuty_T2,f_ave_DIST_C4H8_T1,f_ave_RebDuty_T1,f_ave_DIST_C4H6_T2,f_ave_RebDuty_T2,f_std_DIST_C4H8_T1,f_std_RebDuty_T1,f_std_DIST_C4H6_T2,f_std_RebDuty_T2,DIST_C4H8_T1,DIST_C4H6_T1,RebDuty_T1,DIST_C4H6_T2,DIST_SOL_T2,RebDuty_T2,hasIssue,hasERROR,CAPEX,OPEX,TAC,RebDuty_total
0,80,9.158606349032187,3.500552883865406,2.663563127833778,18,1.9195502923965664,3.5007960487102063,98.0,25561.977716826226,[0.96337491 0.96793103 0.95853078 0.96727496 0.96790028],"[17554.44921875 18805.77734375 18789.74609375 18665.05078125
 20244.48632812]",[0.98590761 0.98719621 0.98692143 0.98247713 0.9829663 ],[8648.85839844 6479.78515625 7711.75976562 6458.28125    4451.70019531],0.9650023937225342,18811.901953125,0.9850937366485596,6750.076953125,0.0036515654788490414,855.0531013109077,0.00198976625428189,1412.1574216491422,0.986878818,0.000390434705,17832.8997,0.986811653,0.997597318,7858.47399,False,False,7155040.68,5869181.33,8746329.11,25691.37369
1,74,9.159101204754265,3.5000220408848297,2.787778798440488,19,1.9776359787184388,3.500143207289074,93.0,26022.229741400868,[0.96235889 0.96720827 0.95900822 0.96793479 0.96849322],"[17816.21679688 19198.33398438 19090.5        19160.47070312
 20666.37109375]",[0.98598564 0.98658854 0.98677224 0.98268777 0.98327512],[8704.45019531 6597.38232422 7794.40722656 6573.56152344 4509.45263672],0.9650006771087647,19186.378515625,0.9850618600845337,6835.85078125,0.0037032131737783354,903.0756341052569,0.0017284824690656014,1410.5520490734111,0.986824654,0.00054937239,18021.9083,0.986798232,0.997730478,8107.54698,False,False,7026619.09,5937723.32,8763230.88,26129.45528
2,69,9.70057178153678,3.5001293261217428,2.7647825117425318,18,1.9879646857751798,3.500246085214168,87.0,26718.71784820215,[0.96203738 0.96668577 0.95904166 0.96833104 0.96899456],"[18397.77148438 19716.77734375 19708.53710938 19895.625
 21386.76953125]",[0.98593926 0.98722166 0.98701131 0.98276097 0.98322499],[8779.73535156 6639.70361328 7868.83837891 6632.53173828 4567.29492188],0.9650180816650391,19821.09609375,0.9852316379547119,6897.62080078125,0.0038515313890943974,949.3463794608876,0.001884623328235691,1417.944353977738,0.98641156,0.00084314439,18685.3049,0.986348842,0.997683445,8139.64366,False,False,6955545.85,6134441.83,8931369.78,26824.948559999997
3,64,9.991398303027008,3.500998559985143,2.8219881986393047,18,1.9998848612614857,3.567739736797118,82.0,27407.010744125353,[0.96175998 0.96603417 0.9591229  0.96871334 0.96936977],"[18880.93945312 20239.3125     20221.38867188 20593.66992188
 22015.03125   ]",[0.98574466 0.98691571 0.9867714  0.98267579 0.98294371],[8899.65722656 6743.06689453 8001.05908203 6753.54248047 4687.38720703],0.9650000333786011,20390.068359375,0.9850102543830872,7016.942578125,0.003974704131556135,1001.060259320198,0.0018434781143443304,1420.1630518502307,0.985876738,0.00137241411,19154.5203,0.98580985,0.997728667,8309.04475,False,False,6870514.23,6274745.28,9037480.76,27463.565049999997
4,74,9.159119134673702,3.500048018121934,2.787778798440488,20,1.97192355114549,3.5001611021098618,94.0,25935.36862554244,[0.96235907 0.96720839 0.95900834 0.96793491 0.96849346],"[17816.26953125 19198.33984375 19090.5546875  19160.50976562
 20666.42773438]",[0.98615396 0.98610002 0.98673058 0.98268211 0.98342228],[8610.50195312 6536.81835938 7686.70947266 6475.55224609 4435.15869141],0.9650008320808411,19186.4203125,0.9850177884101867,6748.94814453125,0.003703227155499367,903.0768275054223,0.0016368747765886738,1401.2954640076468,0.986824539,0.000549372818,18021.9486,0.986797392,0.997730422,8108.28736,False,False,7055795.02,5936719.54,8773959.17,26130.235959999998
5,73,9.377739631449263,3.500390771165241,2.7532455783736225,18,1.9759370810148345,3.5000566220674934,91.0,26239.82717237234,[0.96233648 0.96713567 0.95895922 0.9679938  0.96861345],"[17994.28125    19323.1484375  19277.13085938 19350.83789062
 20870.55078125]",[0.98590708 0.98716927 0.98695081 0.98267788 0.98311317],[8761.52832031 6616.64160156 7847.10351562 6607.72314453 4550.19433594],0.9650077223777771,19363.18984375,0.9851636409759521,6876.63818359375,0.00374608913492677,911.6150248537612,0.001905396252532348,1417.5237765465304,0.986716326,0.000586854181,18250.0746,0.986652552,0.997682357,8075.81728,False,False,7008805.37,6004997.98,8823342.37,26325.89188
6,80,9.158910742766304,3.5000062167275083,2.663563127833778,17,1.9286236603245002,3.500090936239835,97.0,25630.27491023724,[0.963377   0.96793348 0.95853317 0.96727639 0.96790129],"[17554.28125    18806.29101562 18789.53320312 18665.11132812
 20244.37109375]",[0.98576552 0.98754543 0.98695356 0.98231518 0.98242098],[8735.15332031 6537.57226562 7790.98876953 6514.13769531 4513.92480469],0.9650042653083801,18811.917578125,0.9850001335144043,6818.35537109375,0.0036512653405903765,855.0622201611909,0.0022244639615652474,1421.4019760677932,0.986881091,0.00039042925,17833.0313,0.986815509,0.997597885,7862.74141,False,False,7127202.27,5871616.14,8737569.68,25695.772709999997
7,74,9.158863037783462,3.5000452820195376,2.788000816022245,18,1.9882481900118947,3.501763217273972,92.0,26104.342227764697,[0.96236306 0.96721238 0.95901382 0.96793884 0.96849704],"[17816.54492188 19198.73828125 19090.87695312 19160.93164062
 20666.87890625]",[0.98584139 0.98703849 0.98684388 0.98263472 0.98297608],[8798.75390625 6659.26611328 7891.87207031 6655.49023438 4582.359375  ],0.9650050282478333,19186.794140625,0.9850669145584107,6917.54833984375,0.003702656768941625,903.1329329815878,0.001893763891031521,1419.6290202415826,0.986824964,0.000549179661,18022.0265,0.986761253,0.997723992,8115.01283,False,False,6998342.36,5940716.11,8754853.18,26137.03933
8,72,9.691230368505805,3.50083744944629,2.694672289200971,16,1.979536648275044,3.500025233943737,88.0,26538.686366625494,[0.96235281 0.96707249 0.95882958 0.96802706 0.96874422],"[18228.45898438 19476.9765625  19523.01953125 19596.37695312
 21137.35546875]",[0.98576999 0.98798728 0.98722315 0.98236692 0.98206228],[8874.43652344 6664.53466797 7926.85839844 6636.45458984 4628.95898438],0.9650052309036254,19592.4375,0.985081923007965,6946.2486328125,0.0038094347078573166,923.6205414582206,0.0024490350568405228,1430.0119213345395,0.986419276,0.000774930735,18564.5946,0.986270099,0.997595737,8021.71797,False,False,6978105.78,6099891.04,8905890.68,26586.312570000002
9,72,9.691230368505805,3.500074118131872,2.6956985557299804,17,1.9720635720545379,3.500677749034693,89.0,26482.98337214247,[0.96237975 0.96709991 0.95886385 0.96805143 0.96876657],"[18230.56640625 19480.25976562 19525.26171875 19599.43945312
 21140.45507812]",[0.98592418 0.98778731 0.98723733 0.98266488 0.98292243],[8794.93164062 6612.89892578 7862.08935547 6597.16357422 4571.84716797],0.9650323033332825,19595.196484375,0.985307228565216,6887.7861328125,0.003805802269125758,923.9219334148883,0.002141306078704511,1421.9752807051402,0.986424653,0.000773659886,18566.1622,0.986362529,0.997613564,8022.36383,False,False,7008673.5,6098722.76,8917014.13,26588.52603
