,NStage_T1,RR_T1,TopPres_T1,StoF,NStage_T2,RR_T2,TopPres_T2,opt_N_total,opt_RebDuty_total,f_all_DIST_C4H8_T1,f_all_RebDuty_T1,f_all_DIST_C4H6_T2,f_all_RebDuty_T2,f_ave_DIST_C4H8_T1,f_ave_RebDuty_T1,f_ave_DIST_C4H6_T2,f_ave_RebDuty_T2,f_std_DIST_C4H8_T1,f_std_RebDuty_T1,f_std_DIST_C4H6_T2,f_std_RebDuty_T2,DIST_C4H8_T1,DIST_C4H6_T1,RebDuty_T1,DIST_C4H6_T2,DIST_SOL_T2,RebDuty_T2,hasIssue,hasERROR,CAPEX,OPEX,TAC,RebDuty_total
0,58,9.807095363946972,3.5060098604553085,2.1690164537134637,8,1.096584435873906,3.515412961290041,66.0,30957.489532354055,[0.9605189  0.96787995 0.9430449  0.95784396 0.97122252],"[17663.8046875  18903.58984375 19047.67382812 20306.53320312
 22755.47851562]",[0.98590142 0.98810464 0.98723954 0.98522007 0.97901648],"[14167.98730469 11021.75488281 11845.63378906 11726.80761719
  7348.20361328]",0.9601020455360413,19735.416015625,0.9850964307785034,11222.07744140625,0.009801833138318,1726.4674880960538,0.003202227409493598,2207.6678896671806,0.991953524,0.00785736184,18318.5125,0.991857303,0.999934169,9333.88693,False,False,5862938.83,6377588.32,8735162.82,27652.39943
1,80,9.883857356258522,3.5057685412063404,1.8571715454525335,10,0.8939822127318098,3.506972904869528,90.0,29030.941800933542,[0.96460474 0.97167927 0.93884528 0.95601904 0.9697454 ],"[17016.54296875 17766.63671875 18056.29101562 19142.01171875
 21571.12890625]",[0.98531979 0.98875552 0.98652691 0.98397487 0.98044145],"[12757.59277344 10128.23730469 11003.09375    10893.625
  6819.55664062]",0.9601787447929382,18710.522265625,0.9850037097930908,10320.42109375,0.011964884376206304,1584.787544932327,0.002770157238386063,1950.7637990251462,0.996599217,0.0032072493,17925.2635,0.996596991,0.999947285,8169.30617,False,False,6641868.8,6111354.34,8782148.11,26094.56967
2,80,9.889147498279344,3.500660950770225,1.8571209571879785,16,0.8894187895642305,3.5033550264008855,96.0,28918.27424043348,[0.96464479 0.97171563 0.93890876 0.95606369 0.96977478],"[17017.57226562 17773.26171875 18056.765625   19144.37890625
 21574.22265625]",[0.98463917 0.98804295 0.98607475 0.98343104 0.98466486],"[12413.22265625 10110.15917969 10978.94042969 11109.56933594
  6413.265625  ]",0.960221529006958,18713.240234375,0.9853705525398254,10205.0314453125,0.011953795828506437,1584.9863946103303,0.001576847036524864,2033.702098076768,0.996601492,0.00320553732,17930.7097,0.996601501,0.999948046,8208.07023,False,False,6836944.52,6118866.3,8868102.9,26138.779929999997
3,80,9.87911326784031,3.503400059406271,1.8577305456615938,11,0.8894187895642305,3.5075515506139587,91.0,29004.796070653887,[0.96458524 0.97165912 0.93880588 0.95599234 0.96972352],"[17009.40625    17762.66210938 18051.00390625 19136.4453125
 21566.77929688]",[0.985201   0.98899442 0.98647249 0.98388678 0.9817031 ],"[12704.68652344 10116.63085938 11004.87402344 10933.16308594
  6738.328125  ]",0.9601532220840454,18705.259375,0.9852515578269958,10299.5365234375,0.011971977926391692,1585.350133005989,0.0024477090010326893,1969.7405855167704,0.996607414,0.00319931695,17919.1049,0.996607336,0.99994795,8173.68646,False,False,6674250.69,6109616.38,8793431.38,26092.79136
4,72,9.88239220568108,3.507631897630462,1.9630073820063672,8,0.9956213117947685,3.5362546834942603,80.0,29820.469505154353,[0.96296859 0.97058636 0.94076759 0.95695388 0.97065711],"[17254.80664062 18166.39648438 18422.41210938 19607.58789062
 22032.00390625]",[0.98602611 0.98830682 0.98717695 0.98490268 0.97872955],"[13386.17871094 10511.54296875 11346.55566406 11195.90039062
  7178.95263672]",0.9603867053985595,19096.64140625,0.9850284218788147,10723.82607421875,0.011071353859002257,1648.6185355991302,0.0033481671378976564,2015.438397435218,0.995602424,0.00420513772,18090.0983,0.99550958,0.999927302,8623.92727,False,False,6331515.33,6226268.84,8772264.89,26714.02557
5,80,9.872590329608357,3.501200096789997,1.8577305456615938,13,0.8894187895642305,3.5112268646888563,93.0,28967.97783202964,[0.96453553 0.97161061 0.93871289 0.95593047 0.96967745],"[16998.32421875 17754.29101562 18041.43945312 19126.64453125
 21558.28320312]",[0.98504376 0.98908323 0.98641461 0.98381811 0.98368144],"[12603.72558594 10114.6796875  11014.25390625 11024.35253906
  6603.89306641]",0.9600933909416198,18695.796484375,0.9856082320213317,10272.18095703125,0.011989066174348029,1585.9059252751838,0.0019980758435130235,2001.6831620298533,0.996612014,0.0031949591,17909.3011,0.996612034,0.999948046,8192.83805,False,False,6738165.86,6110318.1,8819834.34,26102.139150000003
6,51,9.755293288135782,3.500311088345199,2.2921388281366006,9,1.117671168877907,3.5036813726405565,60.0,31530.157340948066,[0.95987648 0.96650076 0.94432807 0.95838392 0.97128075],"[17925.21679688 19332.23632812 19415.46289062 20644.69726562
 23136.63867188]",[0.9853279  0.98812008 0.98685199 0.98501182 0.97993922],"[14500.66015625 11258.79003906 12105.30761719 12005.8125
  7325.98095703]",0.96007399559021,20090.850390625,0.9850502014160156,11439.31025390625,0.009140287453578436,1749.5819528392856,0.002788235583021342,2327.5912854195144,0.98882963,0.0109840214,18454.6063,0.988823451,0.999957953,9703.65176,False,False,5655562.54,6450230.88,8724416.3,28158.25806
7,48,9.972659350784,3.5001206230974002,2.2922172984676785,8,1.1799238338933704,3.5100481610738923,56.00000000000001,31875.432868489814,[0.95963073 0.96597832 0.9448961  0.95887429 0.97156084],"[18173.96484375 19621.61914062 19620.921875   20849.85546875
 23407.73242188]",[0.9860611  0.98811042 0.98750079 0.98558551 0.9797793 ],"[14633.859375   11351.40136719 12162.40917969 12073.45019531
  7481.94140625]",0.9601880550384522,20334.81875,0.9854074239730835,11540.6123046875,0.008930260876201116,1754.7451832992938,0.0029605107390714143,2312.891491191726,0.985118409,0.0146960696,18715.8989,0.985022879,0.999938597,9828.64203,False,False,5554372.15,6558495.88,8791991.15,28544.540930000003
8,56,9.947905345520505,3.506336763307166,2.1636382813092654,8,1.1214528675604392,3.5092019406501342,64.0,31111.636772874597,[0.96023214 0.96749818 0.94335514 0.9580934  0.9714126 ],"[17806.39648438 19072.19335938 19157.55273438 20437.06640625
 22906.81835938]",[0.98626673 0.98833627 0.98756522 0.98550159 0.97980666],"[14178.39746094 11035.26171875 11852.13867188 11749.29980469
  7363.04785156]",0.960118293762207,19876.00546875,0.9854952931404114,11235.6291015625,0.009665820801471376,1728.9410481842096,0.0030103622018842996,2206.393432025266,0.990461432,0.00934967765,18480.2505,0.990369391,0.999935014,9372.76289,False,False,5820097.29,6436754.48,8777101.76,27853.01339
9,44,9.793611909054903,3.5000221641004887,2.4039403077737584,8,1.2147868132579753,3.5003984711726552,52.0,32271.71038149439,[0.95942527 0.96500421 0.94548303 0.95896941 0.9712379 ],"[18283.70507812 19833.8671875  19837.53125    20988.1875
 23577.3984375 ]",[0.98566949 0.98774844 0.98723185 0.98547101 0.97925067],"[14970.07519531 11593.46484375 12400.05371094 12317.57226562
  7556.70214844]",0.9600239634513855,20504.137890625,0.9850742936134338,11767.5736328125,0.008526012236582345,1760.8624884944425,0.00304080180869624,2396.6767963781385,0.982021716,0.0177948076,18679.15,0.981922296,0.999941047,10154.2718,False,False,5389370.97,6579719.82,8746865.67,28833.421800000004
10,50,9.793728161904633,3.500864839224699,2.299136011268515,8,1.1775770178153968,3.5036817099044524,57.99999999999999,31701.74171231254,[0.95978111 0.96629643 0.94448745 0.95849079 0.97132111],"[17988.44726562 19411.8125     19475.88476562 20702.46875
 23210.15625   ]",[0.98598748 0.98805553 0.98743212 0.98553199 0.97961271],"[14643.22558594 11356.76171875 12167.40234375 12078.00585938
  7474.53515625]",0.9600753784179688,20157.75390625,0.985323965549469,11543.9861328125,0.009063651330538072,1751.6357918635201,0.003000258161992205,2318.387122984021,0.987560675,0.0122532868,18509.2436,0.987464421,0.999938528,9808.69014,False,False,5598385.25,6493697.92,8744891.51,28317.93374
11,77,9.966641281889643,3.505455102113407,1.870923214455137,9,0.9313069220779177,3.506478892834619,86.0,29269.91637376629,[0.96384197 0.97120935 0.93941212 0.95631438 0.97011507],"[17129.79882812 17921.15429688 18173.49804688 19322.14648438
 21738.75      ]",[0.98580903 0.98863971 0.98692882 0.98445779 0.97978324],"[12904.21582031 10212.08984375 11065.73339844 10935.19140625
  6947.00341797]",0.9601785778999329,18857.06953125,0.9851237177848816,10412.84677734375,0.011661989722798293,1602.9379450473457,0.003001814720278034,1947.2235669138352,0.996181419,0.00362532732,18046.4771,0.996175367,0.999946715,8268.75106,False,False,6532183.79,6166434.8,8793122.6,26315.22816
12,43,9.933301500415618,3.5108869075644424,2.39278528078795,8,1.210646271649061,3.510774848485686,51.0,32389.087326979155,[0.9593842  0.96489203 0.94572777 0.95927233 0.97144341],"[18429.98242188 19972.82421875 19948.31054688 21097.48828125
 23726.52539062]",[0.98569125 0.98777628 0.98725361 0.98548132 0.9792996 ],"[14947.38476562 11576.48828125 12385.77441406 12299.49511719
  7561.15136719]",0.9601439476013184,20635.026171875,0.9851004123687744,11754.0587890625,0.008478036130052316,1763.1532172726909,0.0030311732567820673,2387.7143943594137,0.980635419,0.0191800665,18841.2886,0.980535774,0.999940498,10136.4319,False,False,5366709.52,6622986.3,8781019.65,28977.7205
