,NStage_T1,RR_T1,TopPres_T1,StoF,NStage_T2,RR_T2,TopPres_T2,opt_N_total,opt_RebDuty_total,f_all_DIST_C4H8_T1,f_all_RebDuty_T1,f_all_DIST_C4H6_T2,f_all_RebDuty_T2,f_ave_DIST_C4H8_T1,f_ave_RebDuty_T1,f_ave_DIST_C4H6_T2,f_ave_RebDuty_T2,f_std_DIST_C4H8_T1,f_std_RebDuty_T1,f_std_DIST_C4H6_T2,f_std_RebDuty_T2,DIST_C4H8_T1,DIST_C4H6_T1,RebDuty_T1,DIST_C4H6_T2,DIST_SOL_T2,RebDuty_T2,hasIssue,hasERROR,CAPEX,OPEX,TAC,RebDuty_total
0,77,9.76573222906997,3.5032524895949195,1.7403954893591047,13,1.0048699730336275,3.5186049741557737,90.0,26159.504371793508,[0.9748981  0.96591794 0.97540057 0.95443463 0.95498097],"[22262.6640625  18487.09765625 20920.51757812 16862.14648438
 20356.34179688]",[0.98072827 0.9894343  0.98746336 0.98282152 0.98521519],[7501.5        5529.09082031 4860.61425781 5897.54638672 8120.00292969],0.9651264429092408,19777.753515625,0.9851325273513794,6381.75087890625,0.009153303322005023,1896.4182785306307,0.003120355271220239,1228.8773797286376,0.891918257,0.108073496,19701.9254,0.891844735,0.999975822,7270.64942,False,False,6935881.6,6199999.63,8989020.3,26972.57482
1,56,9.817129690513775,3.5066048307817503,2.0363467053238606,9,1.271543973732856,3.527286722935695,65.0,28104.97768308357,[0.96854824 0.96637338 0.97709638 0.95627284 0.95698607],"[23533.31054688 19763.80273438 22425.4296875  17790.27148438
 22046.58789062]",[0.98279518 0.9897843  0.98824012 0.98240775 0.98332512],[8017.13037109 6169.01123047 5505.62695312 6534.44921875 8739.26855469],0.9650553822517395,21111.88046875,0.9853104948997498,6993.097265625,0.0077610516657320135,2064.5974407052695,0.0030754545419204,1199.9834771073151,0.881912253,0.118078439,20726.045,0.880630584,0.9996671,8329.73335,False,False,6244518.06,6585313.36,9096326.52,29055.77835
2,50,9.393615510538858,3.5044871957148067,2.285253527315363,9,1.391335624417817,3.5268635520982876,59.0,29152.570763484462,[0.96768212 0.96664363 0.97768164 0.95651275 0.95657313],"[24224.39453125 20582.8125     23323.84570312 18670.25
 22814.53710938]",[0.98220599 0.98939896 0.9879232  0.98255324 0.98294365],[8190.67285156 6462.48242188 5800.48925781 6835.16503906 8858.21582031],0.9650186538696289,21923.16796875,0.985005009174347,7229.405078125,0.00792165472143041,2021.3910480860777,0.003030429079788894,1128.0475306230483,0.8817924,0.118196941,21103.6499,0.880294413,0.999653221,8859.66906,False,False,6082874.15,6667404.43,9113418.18,29963.31896
3,53,9.897792707408644,3.5046819344610003,2.086811787530582,8,1.3531545668326872,3.5048287340971793,61.0,28578.30858717097,[0.96786916 0.96655744 0.97730052 0.95665026 0.95726448],"[23859.50195312 20070.8671875  22764.171875   18081.01367188
 22422.24414062]",[0.98355711 0.98954308 0.98842514 0.98230743 0.98280299],[8130.21386719 6327.12695312 5652.82177734 6692.61865234 8890.96289062],0.9651283740997314,21439.559765625,0.9853271484375,7138.748828125,0.007634587893657088,2084.684016788739,0.003032976262793141,1193.2307778858662,0.880145484,0.11984511,21006.0397,0.87877935,0.999653921,8522.70393,False,False,6150629.17,6686754.95,9160013.99,29528.74363
4,55,9.968031768498065,3.503606068589157,2.022141274319805,9,1.3212104343406608,3.5024259204084958,64.0,28246.39397265568,[0.96822137 0.96644574 0.97711188 0.95648307 0.95725334],"[23639.68945312 19825.86523438 22489.63671875 17831.73242188
 22167.09960938]",[0.9835465  0.99019122 0.98867482 0.98289043 0.98457772],[8060.03759766 6250.96289062 5574.86767578 6612.48974609 8779.58984375],0.9651030778884888,21190.8046875,0.9859761357307434,7055.58955078125,0.0076375486255387945,2087.274740496726,0.002913079772628749,1184.6849082586607,0.880640067,0.119350833,20861.7094,0.879491387,0.999699186,8370.10065,False,False,6240752.97,6647354.99,9156854.15,29231.81005
5,66,9.896114537666243,3.5007695152070704,1.84288478329087,10,1.1124330435796819,3.5089598142731147,76.0,26912.126746063135,[0.97134596 0.96620989 0.97639197 0.95560801 0.95651907],"[22783.3203125  18974.703125   21510.7109375  17100.609375
 21115.49804688]",[0.98206788 0.98981279 0.98796207 0.98211056 0.98351765],[7717.06103516 5733.28515625 5076.26220703 6110.76367188 8438.41992188],0.96521497964859,20296.968359375,0.9850941896438599,6615.1583984375,0.00814145769736475,2014.4579438207406,0.003194870535413708,1260.0625339284063,0.886168283,0.113823219,20166.2578,0.885852628,0.999908711,7667.73066,False,False,6538868.22,6375290.9,9004666.61,27833.98846
6,65,9.994562027033238,3.502794325975593,1.8253802432382717,9,1.181430781517953,3.5277646216036103,74.0,27085.216180948446,[0.97079068 0.96601915 0.9762516  0.95547467 0.95649201],"[22811.45117188 18968.9609375  21504.08007812 17067.13476562
 21146.46289062]",[0.98332769 0.99008    0.98852813 0.98235691 0.98386836],[7829.359375   5925.4296875  5255.29248047 6285.70898438 8632.20507812],0.965005624294281,20299.61796875,0.9856322169303894,6785.59912109375,0.008053407500025884,2034.5405932665524,0.0030763225587476543,1251.4798476840444,0.884839252,0.115152393,20224.0821,0.883733954,0.999680318,7830.40951,False,False,6499117.49,6451912.21,9065303.57,28054.49161
7,69,9.994562027033238,3.502794325975593,1.775629187100224,8,1.1523764538555663,3.512019357517868,77.0,26804.32079208593,[0.97218996 0.96612251 0.97604126 0.95531917 0.95628333],"[22622.31835938 18778.69921875 21267.87304688 16950.27734375
 20884.83398438]",[0.98343903 0.98958606 0.98836923 0.98164338 0.98213208],[7766.50976562 5802.12646484 5134.85742188 6169.32128906 8644.79003906],0.9651912450790405,20100.800390625,0.9850339531898499,6703.52099609375,0.008299167967285541,2000.4283094071566,0.003295643973663324,1300.5427681071308,0.8867036,0.113288225,20070.8504,0.885505863,0.999644988,7667.35286,False,False,6585191.13,6400650.83,9048653.67,27738.20326
8,65,9.995998868512492,3.5027854280876367,1.827978694303134,10,1.1124330435796819,3.5089598142731147,75.0,26929.9517711029,[0.9708575  0.96609861 0.97630954 0.95556533 0.95657521],"[22827.09765625 18985.43554688 21521.2734375  17085.078125
 21166.18554688]",[0.98219758 0.98987949 0.98803735 0.98217356 0.98370117],[7711.12988281 5732.3359375  5073.36669922 6108.31494141 8439.53613281],0.9650812387466431,20317.0140625,0.9851978302001954,6612.93671875,0.008042137059307385,2034.225343817249,0.0031739081531219583,1260.3864775690195,0.885026366,0.114965269,20236.3779,0.884720421,0.999910723,7656.66853,False,False,6513430.14,6401437.52,9020584.2,27893.04643
9,73,9.898713755789782,3.5047388036842824,1.7447727933249906,12,1.01452266918725,3.5206564668376354,85.0,26294.48527085041,[0.97340727 0.96587735 0.97560579 0.9547264  0.95554119],"[22401.58398438 18583.58398438 21038.47070312 16850.16015625
 20575.95898438]",[0.98106325 0.98959291 0.98758686 0.9824729  0.98465675],[7526.57470703 5531.05615234 4867.78955078 5906.13818359 8191.11181641],0.9650315999984741,19889.9515625,0.9850745320320129,6404.53408203125,0.008705693928447117,1951.662258924468,0.0031547097056751116,1250.9021612158294,0.888719215,0.111272635,19859.6566,0.888648394,0.999976685,7325.7964,False,False,6789596.47,6256747.6,8986944.85,27185.452999999998
10,73,9.90632892779261,3.504845924778879,1.7447727933249906,8,1.134041298812338,3.506144518303091,81.0,26550.92552852166,[0.97344458 0.96593118 0.97564089 0.95478636 0.95560265],"[22412.27148438 18592.75585938 21047.203125   16859.58007812
 20588.828125  ]",[0.98342717 0.98958886 0.98836356 0.98157322 0.98209411],[7721.06982422 5739.70214844 5072.57080078 6109.15283203 8611.49804688],0.9650811314582824,19900.127734375,0.9850093841552734,6650.79873046875,0.008694854027455299,1952.1837859155053,0.00331757524849193,1311.8004941759734,0.888761153,0.111230702,19870.3196,0.887580631,0.999644256,7551.09283,False,False,6693571.47,6334650.47,9026234.65,27421.412429999997
11,49,9.640918245666972,3.509903307107134,2.252955258962059,9,1.3726778529246602,3.5166059529653824,57.99999999999999,29203.22381963415,[0.96734792 0.96674716 0.97766531 0.95680743 0.95697039],"[24366.00390625 20653.79296875 23404.0078125  18708.33984375
 22981.43554688]",[0.9822458  0.9894371  0.98794216 0.98248911 0.98290282],[8158.69921875 6401.61181641 5740.63037109 6775.86279297 8825.73535156],0.9651076436042786,22022.716015625,0.985003399848938,7180.50791015625,0.007752548453911604,2058.015938860652,0.003053930154687096,1140.815120287585,0.879447887,0.120541814,21296.5631,0.877997603,0.999659095,8797.44493,False,False,6069850.43,6725146.06,9165922.77,30094.008029999997
12,62,9.921690361558317,3.5020673532207662,1.9027962604757733,8,1.2557714506988185,3.5006444011596254,70.0,27514.053794845502,[0.97021163 0.96637672 0.97674781 0.95604026 0.95695269],"[23064.63671875 19254.7734375  21836.64453125 17323.02148438
 21476.296875  ]",[0.98379207 0.98974133 0.98856503 0.9821164  0.98288971],[7953.6015625  6066.11132812 5391.84033203 6429.05615234 8774.28710938],0.9652658224105835,20591.074609375,0.9854209065437317,6922.979296875,0.007896204352311744,2045.4556679894295,0.003115488360593524,1249.9673747151742,0.88436616,0.115625139,20396.9308,0.883140209,0.999660289,8048.06543,False,False,6391564.92,6512958.65,9083101.52,28444.996229999997
13,45,9.96542368525424,3.502843774553778,2.287576219478569,8,1.4489735155121515,3.5064576976757347,53.0,29852.03451021001,[0.96639675 0.96690202 0.97772354 0.95727921 0.95728409],"[24913.66796875 21107.29492188 23895.55664062 19124.08789062
 23591.29492188]",[0.98308116 0.98916978 0.98814374 0.98238719 0.98244011],[8263.046875   6561.43017578 5887.30761719 6935.26269531 8981.21679688],0.9651171207427979,22526.38046875,0.9850443959236145,7325.65283203125,0.00757012981010143,2111.73986874686,0.002977315978058886,1133.567582256961,0.871572652,0.128417325,21824.2104,0.870048925,0.999646334,9002.18579,False,False,5967350.48,6906568.75,9306128.71,30826.39619
14,48,9.80089648895407,3.5045504091048802,2.2448983063454993,8,1.4424598727984128,3.504682879665971,56.00000000000001,29452.938052642952,[0.96712333 0.96687973 0.97771412 0.95710009 0.95727026],"[24510.05078125 20753.87890625 23510.92773438 18784.45898438
 23146.54882812]",[0.98336267 0.98935258 0.98830765 0.98249441 0.98285574],[8254.40429688 6543.69921875 5866.28320312 6914.10693359 8980.33496094],0.9652175068855285,22141.173046875,0.985274612903595,7311.76572265625,0.007636904682122476,2082.8204154879804,0.0029347969215215686,1141.0669713698194,0.875934636,0.124055305,21462.9886,0.874457832,0.999651386,8896.49445,False,False,6034372.63,6808615.67,9235126.24,30359.483050000003
15,59,9.965371447416674,3.5032728108020903,1.936768309091466,9,1.3719518358418652,3.5156890617647445,68.0,27934.18042557128,[0.96913558 0.96621734 0.97676802 0.95603055 0.9569515 ],"[23251.58789062 19429.62109375 22042.26171875 17458.30859375
 21704.22851562]",[0.98475838 0.99082667 0.98936898 0.98365408 0.98650914],[8112.55273438 6384.16601562 5685.53759766 6725.77197266 8876.86328125],0.9650205969810486,20777.2015625,0.9870234489440918,7156.9783203125,0.007775583575493594,2069.462129604602,0.0027097472411999196,1167.8563535380943,0.882719496,0.117271712,20560.4964,0.881735652,0.999731017,8293.25773,False,False,6359878.98,6602680.85,9160082.34,28853.75413
16,65,9.994562027033238,3.502608917161686,1.8253802432382717,8,1.181430781517953,3.5277646216036103,73.0,27093.412456497488,[0.97079068 0.96601903 0.9762516  0.95547467 0.95649165],"[22811.20507812 18968.72265625 21503.78710938 17066.67382812
 21146.07421875]",[0.98344684 0.98957193 0.98837286 0.98175931 0.98218966],[7841.04150391 5910.21728516 5242.63378906 6272.56347656 8704.15722656],0.9650055289268493,20299.292578125,0.9850681185722351,6794.12265625,0.008053480113262304,2034.5904221841301,0.003257850876580896,1280.991922014981,0.884840825,0.11515082,20223.9677,0.883599228,0.999641657,7832.59498,False,False,6463601.03,6453832.34,9052942.0,28056.562680000003
17,59,9.971901699429834,3.5034614959912993,1.936768309091466,8,1.3792943267517184,3.505466894391173,67.0,27958.594167891366,[0.96916795 0.96625894 0.9767943  0.95608133 0.95700246],"[23260.83984375 19437.37109375 22049.97070312 17466.6328125
 21715.45507812]",[0.98497057 0.99034214 0.98923218 0.98307139 0.98514426],[8129.60888672 6378.69287109 5679.16113281 6723.39013672 8951.84765625],0.9650609970092774,20786.05390625,0.986552107334137,7172.54013671875,0.007765912505139736,2069.9439301835446,0.002762095941621496,1195.3263900906165,0.882741642,0.117249571,20569.6452,0.881632391,0.99969736,8297.09392,False,False,6326527.42,6608993.67,9152984.0,28866.73912
18,41,9.78799837778973,3.5013454139436773,2.464973296002258,8,1.5649093203228042,3.504682879665971,49.0,30797.235783336233,[0.96618295 0.96712697 0.97801226 0.95735806 0.95676202],"[25617.04882812 21846.52148438 24672.47265625 19918.30859375
 24317.59960938]",[0.98299718 0.98898309 0.98807669 0.98270917 0.98288685],[8380.50390625 6818.02148438 6133.34619141 7199.62304688 9082.73730469],0.9650884509086609,23274.390234375,0.9851305961608887,7522.84638671875,0.007764880330230084,2089.6441175990344,0.0027917866929453965,1067.7825958430853,0.867501418,0.132487774,22277.0997,0.865870608,0.999647965,9407.71701,False,False,5886971.61,7023310.95,9390549.38,31684.81671
19,52,9.98022399312259,3.503662211096604,2.0863390773752597,8,1.345514878356667,3.5154823070780568,60.0,28653.57363823581,[0.96748847 0.96649718 0.97725236 0.95666599 0.95728993],"[23948.984375   20135.37890625 22835.99804688 18133.5703125
 22522.58789062]",[0.98346817 0.98949045 0.98837435 0.98225707 0.9826417 ],[8128.88916016 6325.60351562 5652.95019531 6689.6796875  8894.22460938],0.965038788318634,21515.30390625,0.9852463483810425,7138.26943359375,0.007582186031593278,2098.664802533129,0.0030554446299657866,1194.3649288341117,0.877172805,0.122817887,21101.8126,0.875792963,0.999649925,8539.1287,False,False,6125340.3,6716292.64,9179382.65,29640.9413
